group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate,in2,,214,elements,2759759708.0,ns,1
mate,in2,,214,elements,2781841378.0,ns,1
mate,in2,,214,elements,2695956494.0,ns,1
mate,in2,,214,elements,2714578172.0,ns,1
mate,in2,,214,elements,2751972399.0,ns,1
mate,in2,,214,elements,2762271098.0,ns,1
mate,in2,,214,elements,2794150972.0,ns,1
mate,in2,,214,elements,2776239262.0,ns,1
mate,in2,,214,elements,2792120419.0,ns,1
mate,in2,,214,elements,2786734458.0,ns,1
