group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate,in3,,10,elements,37489570260.0,ns,1
mate,in3,,10,elements,37057449317.0,ns,1
mate,in3,,10,elements,36952290493.0,ns,1
mate,in3,,10,elements,37105561769.0,ns,1
mate,in3,,10,elements,37815205916.0,ns,1
mate,in3,,10,elements,38158647046.0,ns,1
mate,in3,,10,elements,36716563282.0,ns,1
mate,in3,,10,elements,37277174239.0,ns,1
mate,in3,,10,elements,36962180053.0,ns,1
mate,in3,,10,elements,36875155444.0,ns,1
