group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p2K3/5R2/5qP1/8_b_-,,,1216349.0,ns,4
mate_in_1,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p2K3/5R2/5qP1/8_b_-,,,2287892.0,ns,8
mate_in_1,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p2K3/5R2/5qP1/8_b_-,,,3453439.0,ns,12
mate_in_1,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p2K3/5R2/5qP1/8_b_-,,,4854194.0,ns,16
mate_in_1,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p2K3/5R2/5qP1/8_b_-,,,3844955.0,ns,20
mate_in_1,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p2K3/5R2/5qP1/8_b_-,,,3893056.0,ns,24
mate_in_1,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p2K3/5R2/5qP1/8_b_-,,,4718190.0,ns,28
mate_in_1,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p2K3/5R2/5qP1/8_b_-,,,6988280.0,ns,32
mate_in_1,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p2K3/5R2/5qP1/8_b_-,,,8604046.0,ns,36
mate_in_1,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p2K3/5R2/5qP1/8_b_-,,,9859096.0,ns,40
mate_in_1,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p2K3/5R2/5qP1/8_b_-,,,11607766.0,ns,44
mate_in_1,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p2K3/5R2/5qP1/8_b_-,,,11313954.0,ns,48
mate_in_1,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p2K3/5R2/5qP1/8_b_-,,,12152288.0,ns,52
mate_in_1,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p2K3/5R2/5qP1/8_b_-,,,13301334.0,ns,56
mate_in_1,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p2K3/5R2/5qP1/8_b_-,,,15096307.0,ns,60
mate_in_1,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p2K3/5R2/5qP1/8_b_-,,,15084405.0,ns,64
mate_in_1,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p2K3/5R2/5qP1/8_b_-,,,15969942.0,ns,68
mate_in_1,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p2K3/5R2/5qP1/8_b_-,,,18948761.0,ns,72
mate_in_1,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p2K3/5R2/5qP1/8_b_-,,,20628928.0,ns,76
mate_in_1,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p2K3/5R2/5qP1/8_b_-,,,22139689.0,ns,80
mate_in_1,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p2K3/5R2/5qP1/8_b_-,,,21747073.0,ns,84
mate_in_1,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p2K3/5R2/5qP1/8_b_-,,,21411760.0,ns,88
mate_in_1,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p2K3/5R2/5qP1/8_b_-,,,25835938.0,ns,92
mate_in_1,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p2K3/5R2/5qP1/8_b_-,,,24638189.0,ns,96
mate_in_1,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p2K3/5R2/5qP1/8_b_-,,,26276155.0,ns,100
