group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,1390254.0,ns,4
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,2243688.0,ns,8
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,3277629.0,ns,12
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,4457875.0,ns,16
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,6569658.0,ns,20
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,6812067.0,ns,24
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,7978313.0,ns,28
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,9379268.0,ns,32
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,12112075.0,ns,36
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,13667136.0,ns,40
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,13653035.0,ns,44
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,14861383.0,ns,48
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,17238976.0,ns,52
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,17254377.0,ns,56
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,18468024.0,ns,60
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,22336576.0,ns,64
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,21304636.0,ns,68
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,23425119.0,ns,72
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,23858035.0,ns,76
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,25281092.0,ns,80
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,27843992.0,ns,84
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,28599522.0,ns,88
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,28424015.0,ns,92
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,28307310.0,ns,96
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,26537041.0,ns,100
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,40696496.0,ns,104
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,28584121.0,ns,108
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,28606222.0,ns,112
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,31831048.0,ns,116
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,33933431.0,ns,120
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,33308707.0,ns,124
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,33986233.0,ns,128
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,36058014.0,ns,132
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,35067275.0,ns,136
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,34993973.0,ns,140
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,33054896.0,ns,144
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,40470587.0,ns,148
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,29435755.0,ns,152
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,35955110.0,ns,156
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,46008704.0,ns,160
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,34879168.0,ns,164
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,39187037.0,ns,168
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,37249860.0,ns,172
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,45492585.0,ns,176
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,45659090.0,ns,180
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,49788053.0,ns,184
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,33023095.0,ns,188
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,38764520.0,ns,192
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,53209487.0,ns,196
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,74877036.0,ns,200
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,58709202.0,ns,204
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,56780427.0,ns,208
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,55854390.0,ns,212
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,52308452.0,ns,216
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,55368171.0,ns,220
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,57755365.0,ns,224
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,71797315.0,ns,228
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,62333945.0,ns,232
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,55787787.0,ns,236
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,64894945.0,ns,240
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,59221922.0,ns,244
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,58374289.0,ns,248
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,63278081.0,ns,252
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,69450723.0,ns,256
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,61612316.0,ns,260
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,67976466.0,ns,264
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,72933459.0,ns,268
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,66509008.0,ns,272
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,69391021.0,ns,276
mate_in_1,,https://lichess.org/analysis/1k1r4/pBRn2p1/6p1/1P3p2/3p1B2/6P1/P4P1P/4n1K1_w_-,,,68196274.0,ns,280
