group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,1515669.0,ns,3
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,2668923.0,ns,6
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,4187393.0,ns,9
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,5257541.0,ns,12
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,6827114.0,ns,15
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,7916464.0,ns,18
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,21198974.0,ns,21
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,10745495.0,ns,24
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,13308212.0,ns,27
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,14699876.0,ns,30
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,45783205.0,ns,33
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,20506443.0,ns,36
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,20595448.0,ns,39
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,23635987.0,ns,42
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,19827011.0,ns,45
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,20630149.0,ns,48
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,23031359.0,ns,51
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,23381976.0,ns,54
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,26782131.0,ns,57
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,27272954.0,ns,60
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,27425661.0,ns,63
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,28389306.0,ns,66
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,30570906.0,ns,69
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,31482347.0,ns,72
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,32179779.0,ns,75
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,34503687.0,ns,78
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,35564536.0,ns,81
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,36734189.0,ns,84
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,35807747.0,ns,87
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,38176656.0,ns,90
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,42166739.0,ns,93
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,42371748.0,ns,96
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,44910764.0,ns,99
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,46803952.0,ns,102
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,45235279.0,ns,105
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,46524339.0,ns,108
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,41873525.0,ns,111
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,46968059.0,ns,114
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,45832207.0,ns,117
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,52010291.0,ns,120
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,54141689.0,ns,123
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,60693090.0,ns,126
mate_in_1,,https://lichess.org/analysis/1k2r3/6Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,58421386.0,ns,129
