group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/1k6/pp5R/2p5/P5p1/7b/4Pq2/1P3P2/3QK3_b_-,,,913535.0,ns,4
mate_in_1,,https://lichess.org/analysis/1k6/pp5R/2p5/P5p1/7b/4Pq2/1P3P2/3QK3_b_-,,,1784368.0,ns,8
mate_in_1,,https://lichess.org/analysis/1k6/pp5R/2p5/P5p1/7b/4Pq2/1P3P2/3QK3_b_-,,,2892810.0,ns,12
mate_in_1,,https://lichess.org/analysis/1k6/pp5R/2p5/P5p1/7b/4Pq2/1P3P2/3QK3_b_-,,,3877048.0,ns,16
mate_in_1,,https://lichess.org/analysis/1k6/pp5R/2p5/P5p1/7b/4Pq2/1P3P2/3QK3_b_-,,,4943388.0,ns,20
mate_in_1,,https://lichess.org/analysis/1k6/pp5R/2p5/P5p1/7b/4Pq2/1P3P2/3QK3_b_-,,,5835223.0,ns,24
mate_in_1,,https://lichess.org/analysis/1k6/pp5R/2p5/P5p1/7b/4Pq2/1P3P2/3QK3_b_-,,,7840400.0,ns,28
mate_in_1,,https://lichess.org/analysis/1k6/pp5R/2p5/P5p1/7b/4Pq2/1P3P2/3QK3_b_-,,,8837037.0,ns,32
mate_in_1,,https://lichess.org/analysis/1k6/pp5R/2p5/P5p1/7b/4Pq2/1P3P2/3QK3_b_-,,,8512925.0,ns,36
mate_in_1,,https://lichess.org/analysis/1k6/pp5R/2p5/P5p1/7b/4Pq2/1P3P2/3QK3_b_-,,,9687270.0,ns,40
mate_in_1,,https://lichess.org/analysis/1k6/pp5R/2p5/P5p1/7b/4Pq2/1P3P2/3QK3_b_-,,,11413136.0,ns,44
mate_in_1,,https://lichess.org/analysis/1k6/pp5R/2p5/P5p1/7b/4Pq2/1P3P2/3QK3_b_-,,,12200166.0,ns,48
mate_in_1,,https://lichess.org/analysis/1k6/pp5R/2p5/P5p1/7b/4Pq2/1P3P2/3QK3_b_-,,,12052560.0,ns,52
mate_in_1,,https://lichess.org/analysis/1k6/pp5R/2p5/P5p1/7b/4Pq2/1P3P2/3QK3_b_-,,,12943695.0,ns,56
mate_in_1,,https://lichess.org/analysis/1k6/pp5R/2p5/P5p1/7b/4Pq2/1P3P2/3QK3_b_-,,,13529617.0,ns,60
mate_in_1,,https://lichess.org/analysis/1k6/pp5R/2p5/P5p1/7b/4Pq2/1P3P2/3QK3_b_-,,,15693899.0,ns,64
