group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/1kr5/4Q2p/1p2pp2/1P2qp2/8/6P1/4PP1P/R5K1_w_-,,,950537.0,ns,3
mate_in_1,,https://lichess.org/analysis/1kr5/4Q2p/1p2pp2/1P2qp2/8/6P1/4PP1P/R5K1_w_-,,,2118282.0,ns,6
mate_in_1,,https://lichess.org/analysis/1kr5/4Q2p/1p2pp2/1P2qp2/8/6P1/4PP1P/R5K1_w_-,,,3096920.0,ns,9
mate_in_1,,https://lichess.org/analysis/1kr5/4Q2p/1p2pp2/1P2qp2/8/6P1/4PP1P/R5K1_w_-,,,4381770.0,ns,12
mate_in_1,,https://lichess.org/analysis/1kr5/4Q2p/1p2pp2/1P2qp2/8/6P1/4PP1P/R5K1_w_-,,,4794785.0,ns,15
mate_in_1,,https://lichess.org/analysis/1kr5/4Q2p/1p2pp2/1P2qp2/8/6P1/4PP1P/R5K1_w_-,,,6028234.0,ns,18
mate_in_1,,https://lichess.org/analysis/1kr5/4Q2p/1p2pp2/1P2qp2/8/6P1/4PP1P/R5K1_w_-,,,6681259.0,ns,21
mate_in_1,,https://lichess.org/analysis/1kr5/4Q2p/1p2pp2/1P2qp2/8/6P1/4PP1P/R5K1_w_-,,,7929307.0,ns,24
mate_in_1,,https://lichess.org/analysis/1kr5/4Q2p/1p2pp2/1P2qp2/8/6P1/4PP1P/R5K1_w_-,,,11117331.0,ns,27
mate_in_1,,https://lichess.org/analysis/1kr5/4Q2p/1p2pp2/1P2qp2/8/6P1/4PP1P/R5K1_w_-,,,10019588.0,ns,30
mate_in_1,,https://lichess.org/analysis/1kr5/4Q2p/1p2pp2/1P2qp2/8/6P1/4PP1P/R5K1_w_-,,,10822219.0,ns,33
mate_in_1,,https://lichess.org/analysis/1kr5/4Q2p/1p2pp2/1P2qp2/8/6P1/4PP1P/R5K1_w_-,,,11770756.0,ns,36
mate_in_1,,https://lichess.org/analysis/1kr5/4Q2p/1p2pp2/1P2qp2/8/6P1/4PP1P/R5K1_w_-,,,14174349.0,ns,39
mate_in_1,,https://lichess.org/analysis/1kr5/4Q2p/1p2pp2/1P2qp2/8/6P1/4PP1P/R5K1_w_-,,,13788334.0,ns,42
mate_in_1,,https://lichess.org/analysis/1kr5/4Q2p/1p2pp2/1P2qp2/8/6P1/4PP1P/R5K1_w_-,,,14655468.0,ns,45
mate_in_1,,https://lichess.org/analysis/1kr5/4Q2p/1p2pp2/1P2qp2/8/6P1/4PP1P/R5K1_w_-,,,22361866.0,ns,48
mate_in_1,,https://lichess.org/analysis/1kr5/4Q2p/1p2pp2/1P2qp2/8/6P1/4PP1P/R5K1_w_-,,,22403668.0,ns,51
mate_in_1,,https://lichess.org/analysis/1kr5/4Q2p/1p2pp2/1P2qp2/8/6P1/4PP1P/R5K1_w_-,,,28759913.0,ns,54
mate_in_1,,https://lichess.org/analysis/1kr5/4Q2p/1p2pp2/1P2qp2/8/6P1/4PP1P/R5K1_w_-,,,25197976.0,ns,57
mate_in_1,,https://lichess.org/analysis/1kr5/4Q2p/1p2pp2/1P2qp2/8/6P1/4PP1P/R5K1_w_-,,,26833339.0,ns,60
mate_in_1,,https://lichess.org/analysis/1kr5/4Q2p/1p2pp2/1P2qp2/8/6P1/4PP1P/R5K1_w_-,,,27930882.0,ns,63
mate_in_1,,https://lichess.org/analysis/1kr5/4Q2p/1p2pp2/1P2qp2/8/6P1/4PP1P/R5K1_w_-,,,30804593.0,ns,66
mate_in_1,,https://lichess.org/analysis/1kr5/4Q2p/1p2pp2/1P2qp2/8/6P1/4PP1P/R5K1_w_-,,,30968399.0,ns,69
mate_in_1,,https://lichess.org/analysis/1kr5/4Q2p/1p2pp2/1P2qp2/8/6P1/4PP1P/R5K1_w_-,,,31680928.0,ns,72
