group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,1229007.0,ns,27
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,1878811.0,ns,54
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,2931318.0,ns,81
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,4497927.0,ns,108
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,4699128.0,ns,135
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,5719134.0,ns,162
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,6969042.0,ns,189
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,7690146.0,ns,216
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,9475356.0,ns,243
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,10170261.0,ns,270
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,10547663.0,ns,297
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,11565669.0,ns,324
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,12582376.0,ns,351
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,13795382.0,ns,378
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,14318086.0,ns,405
