group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,1384310.0,ns,21
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,1918114.0,ns,42
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,2905622.0,ns,63
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,3764527.0,ns,84
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,4810536.0,ns,105
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,6065244.0,ns,126
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,7067952.0,ns,147
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,8240161.0,ns,168
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,9491270.0,ns,189
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,10247776.0,ns,210
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,11004481.0,ns,231
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,12133689.0,ns,252
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,12523492.0,ns,273
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,12916795.0,ns,294
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,13977703.0,ns,315
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,15295613.0,ns,336
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,16006718.0,ns,357
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,17391728.0,ns,378
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,18436036.0,ns,399
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,19409443.0,ns,420
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,21467158.0,ns,441
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,25978391.0,ns,462
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,25696289.0,ns,483
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,27133200.0,ns,504
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,29534218.0,ns,525
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,26342794.0,ns,546
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,25428387.0,ns,567
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,27472502.0,ns,588
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,28618811.0,ns,609
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,32915142.0,ns,630
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,32073536.0,ns,651
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,30839927.0,ns,672
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,31382331.0,ns,693
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,34326652.0,ns,714
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,35034558.0,ns,735
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,37310475.0,ns,756
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,34856356.0,ns,777
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,33674348.0,ns,798
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,35522762.0,ns,819
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,39937893.0,ns,840
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,39168289.0,ns,861
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,38132880.0,ns,882
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,38616985.0,ns,903
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,39518990.0,ns,924
mate_in_1,,https://lichess.org/analysis/1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4_w_k,,,40383198.0,ns,945
