group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/1n6/p3q2p/2pN1k2/1pP1p3/1P2P3/2P3PQ/6K1/8_w_-,,,1363555.0,ns,5
mate_in_1,,https://lichess.org/analysis/1n6/p3q2p/2pN1k2/1pP1p3/1P2P3/2P3PQ/6K1/8_w_-,,,2010982.0,ns,10
mate_in_1,,https://lichess.org/analysis/1n6/p3q2p/2pN1k2/1pP1p3/1P2P3/2P3PQ/6K1/8_w_-,,,2993921.0,ns,15
mate_in_1,,https://lichess.org/analysis/1n6/p3q2p/2pN1k2/1pP1p3/1P2P3/2P3PQ/6K1/8_w_-,,,4272573.0,ns,20
mate_in_1,,https://lichess.org/analysis/1n6/p3q2p/2pN1k2/1pP1p3/1P2P3/2P3PQ/6K1/8_w_-,,,6188851.0,ns,25
mate_in_1,,https://lichess.org/analysis/1n6/p3q2p/2pN1k2/1pP1p3/1P2P3/2P3PQ/6K1/8_w_-,,,6011744.0,ns,30
mate_in_1,,https://lichess.org/analysis/1n6/p3q2p/2pN1k2/1pP1p3/1P2P3/2P3PQ/6K1/8_w_-,,,7320397.0,ns,35
mate_in_1,,https://lichess.org/analysis/1n6/p3q2p/2pN1k2/1pP1p3/1P2P3/2P3PQ/6K1/8_w_-,,,8016626.0,ns,40
mate_in_1,,https://lichess.org/analysis/1n6/p3q2p/2pN1k2/1pP1p3/1P2P3/2P3PQ/6K1/8_w_-,,,9361679.0,ns,45
mate_in_1,,https://lichess.org/analysis/1n6/p3q2p/2pN1k2/1pP1p3/1P2P3/2P3PQ/6K1/8_w_-,,,10082710.0,ns,50
mate_in_1,,https://lichess.org/analysis/1n6/p3q2p/2pN1k2/1pP1p3/1P2P3/2P3PQ/6K1/8_w_-,,,12232396.0,ns,55
mate_in_1,,https://lichess.org/analysis/1n6/p3q2p/2pN1k2/1pP1p3/1P2P3/2P3PQ/6K1/8_w_-,,,12606311.0,ns,60
mate_in_1,,https://lichess.org/analysis/1n6/p3q2p/2pN1k2/1pP1p3/1P2P3/2P3PQ/6K1/8_w_-,,,14091972.0,ns,65
mate_in_1,,https://lichess.org/analysis/1n6/p3q2p/2pN1k2/1pP1p3/1P2P3/2P3PQ/6K1/8_w_-,,,15638235.0,ns,70
mate_in_1,,https://lichess.org/analysis/1n6/p3q2p/2pN1k2/1pP1p3/1P2P3/2P3PQ/6K1/8_w_-,,,15955747.0,ns,75
mate_in_1,,https://lichess.org/analysis/1n6/p3q2p/2pN1k2/1pP1p3/1P2P3/2P3PQ/6K1/8_w_-,,,17595014.0,ns,80
mate_in_1,,https://lichess.org/analysis/1n6/p3q2p/2pN1k2/1pP1p3/1P2P3/2P3PQ/6K1/8_w_-,,,18161437.0,ns,85
mate_in_1,,https://lichess.org/analysis/1n6/p3q2p/2pN1k2/1pP1p3/1P2P3/2P3PQ/6K1/8_w_-,,,20698039.0,ns,90
mate_in_1,,https://lichess.org/analysis/1n6/p3q2p/2pN1k2/1pP1p3/1P2P3/2P3PQ/6K1/8_w_-,,,21893889.0,ns,95
mate_in_1,,https://lichess.org/analysis/1n6/p3q2p/2pN1k2/1pP1p3/1P2P3/2P3PQ/6K1/8_w_-,,,22502313.0,ns,100
mate_in_1,,https://lichess.org/analysis/1n6/p3q2p/2pN1k2/1pP1p3/1P2P3/2P3PQ/6K1/8_w_-,,,21944890.0,ns,105
mate_in_1,,https://lichess.org/analysis/1n6/p3q2p/2pN1k2/1pP1p3/1P2P3/2P3PQ/6K1/8_w_-,,,23725463.0,ns,110
mate_in_1,,https://lichess.org/analysis/1n6/p3q2p/2pN1k2/1pP1p3/1P2P3/2P3PQ/6K1/8_w_-,,,24518794.0,ns,115
mate_in_1,,https://lichess.org/analysis/1n6/p3q2p/2pN1k2/1pP1p3/1P2P3/2P3PQ/6K1/8_w_-,,,27523617.0,ns,120
mate_in_1,,https://lichess.org/analysis/1n6/p3q2p/2pN1k2/1pP1p3/1P2P3/2P3PQ/6K1/8_w_-,,,26875090.0,ns,125
mate_in_1,,https://lichess.org/analysis/1n6/p3q2p/2pN1k2/1pP1p3/1P2P3/2P3PQ/6K1/8_w_-,,,29081480.0,ns,130
mate_in_1,,https://lichess.org/analysis/1n6/p3q2p/2pN1k2/1pP1p3/1P2P3/2P3PQ/6K1/8_w_-,,,32058301.0,ns,135
mate_in_1,,https://lichess.org/analysis/1n6/p3q2p/2pN1k2/1pP1p3/1P2P3/2P3PQ/6K1/8_w_-,,,30169624.0,ns,140
