group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,1048939.0,ns,4
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,2757503.0,ns,8
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,3137417.0,ns,12
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,4308060.0,ns,16
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,7355574.0,ns,20
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,6886856.0,ns,24
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,8183804.0,ns,28
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,8622521.0,ns,32
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,9401949.0,ns,36
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,11665534.0,ns,40
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,11964745.0,ns,44
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,12964281.0,ns,48
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,13971620.0,ns,52
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,16363808.0,ns,56
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,15811288.0,ns,60
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,16817425.0,ns,64
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,19321318.0,ns,68
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,18972006.0,ns,72
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,19858738.0,ns,76
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,20928278.0,ns,80
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,22671543.0,ns,84
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,24790321.0,ns,88
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,23824286.0,ns,92
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,27619727.0,ns,96
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,28508760.0,ns,100
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,28671765.0,ns,104
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,26097070.0,ns,108
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,31239161.0,ns,112
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,43104302.0,ns,116
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,44007836.0,ns,120
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,34163870.0,ns,124
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,34361978.0,ns,128
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,36520357.0,ns,132
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,42814192.0,ns,136
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,44298547.0,ns,140
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,46090213.0,ns,144
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,46740838.0,ns,148
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,49859853.0,ns,152
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,48186592.0,ns,156
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,49482939.0,ns,160
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,41505443.0,ns,164
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,50382673.0,ns,168
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,63064743.0,ns,172
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,53871202.0,ns,176
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,45416287.0,ns,180
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,50530878.0,ns,184
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,51741623.0,ns,188
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,53780298.0,ns,192
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,53717296.0,ns,196
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,53682695.0,ns,200
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,55060946.0,ns,204
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,54312618.0,ns,208
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,61442883.0,ns,212
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,57005019.0,ns,216
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,54135811.0,ns,220
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,57993055.0,ns,224
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,64121783.0,ns,228
mate_in_1,,https://lichess.org/analysis/1nbk1b1r/8/pr1P2pp/1B2PpN1/2p2P2/2P5/7P/R3K2R_w_-,,,57296629.0,ns,232
