group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/1r2R3/3P1r1k/6pp/qp6/2pQ4/7P/5PPK/8_w_-,,,1902284.0,ns,3
mate_in_1,,https://lichess.org/analysis/1r2R3/3P1r1k/6pp/qp6/2pQ4/7P/5PPK/8_w_-,,,2325402.0,ns,6
mate_in_1,,https://lichess.org/analysis/1r2R3/3P1r1k/6pp/qp6/2pQ4/7P/5PPK/8_w_-,,,3683562.0,ns,9
mate_in_1,,https://lichess.org/analysis/1r2R3/3P1r1k/6pp/qp6/2pQ4/7P/5PPK/8_w_-,,,5010921.0,ns,12
mate_in_1,,https://lichess.org/analysis/1r2R3/3P1r1k/6pp/qp6/2pQ4/7P/5PPK/8_w_-,,,7303221.0,ns,15
mate_in_1,,https://lichess.org/analysis/1r2R3/3P1r1k/6pp/qp6/2pQ4/7P/5PPK/8_w_-,,,7213517.0,ns,18
mate_in_1,,https://lichess.org/analysis/1r2R3/3P1r1k/6pp/qp6/2pQ4/7P/5PPK/8_w_-,,,8282365.0,ns,21
mate_in_1,,https://lichess.org/analysis/1r2R3/3P1r1k/6pp/qp6/2pQ4/7P/5PPK/8_w_-,,,9299409.0,ns,24
mate_in_1,,https://lichess.org/analysis/1r2R3/3P1r1k/6pp/qp6/2pQ4/7P/5PPK/8_w_-,,,12206737.0,ns,27
mate_in_1,,https://lichess.org/analysis/1r2R3/3P1r1k/6pp/qp6/2pQ4/7P/5PPK/8_w_-,,,12295341.0,ns,30
mate_in_1,,https://lichess.org/analysis/1r2R3/3P1r1k/6pp/qp6/2pQ4/7P/5PPK/8_w_-,,,12457049.0,ns,33
mate_in_1,,https://lichess.org/analysis/1r2R3/3P1r1k/6pp/qp6/2pQ4/7P/5PPK/8_w_-,,,13855709.0,ns,36
mate_in_1,,https://lichess.org/analysis/1r2R3/3P1r1k/6pp/qp6/2pQ4/7P/5PPK/8_w_-,,,14685347.0,ns,39
mate_in_1,,https://lichess.org/analysis/1r2R3/3P1r1k/6pp/qp6/2pQ4/7P/5PPK/8_w_-,,,17490069.0,ns,42
mate_in_1,,https://lichess.org/analysis/1r2R3/3P1r1k/6pp/qp6/2pQ4/7P/5PPK/8_w_-,,,17141855.0,ns,45
mate_in_1,,https://lichess.org/analysis/1r2R3/3P1r1k/6pp/qp6/2pQ4/7P/5PPK/8_w_-,,,19121941.0,ns,48
