group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,911634.0,ns,4
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,1834570.0,ns,8
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,2723803.0,ns,12
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,3638838.0,ns,16
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,4654477.0,ns,20
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,5745718.0,ns,24
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,6378642.0,ns,28
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,8664629.0,ns,32
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,8445921.0,ns,36
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,10570001.0,ns,40
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,11058720.0,ns,44
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,14510451.0,ns,48
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,12115260.0,ns,52
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,12794885.0,ns,56
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,14160738.0,ns,60
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,16451924.0,ns,64
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,18358197.0,ns,68
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,18779813.0,ns,72
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,21894031.0,ns,76
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,19522041.0,ns,80
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,25063452.0,ns,84
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,22199442.0,ns,88
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,25352063.0,ns,92
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,24918945.0,ns,96
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,27841457.0,ns,100
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,26551508.0,ns,104
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,29272211.0,ns,108
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,25898483.0,ns,112
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,30526059.0,ns,116
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,31338890.0,ns,120
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,33885786.0,ns,124
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,31355890.0,ns,128
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,33788483.0,ns,132
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,40653143.0,ns,136
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,31106381.0,ns,140
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,52350287.0,ns,144
mate_in_1,,https://lichess.org/analysis/1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8_w_-,,,56819757.0,ns,148
