group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,1256811.0,ns,20
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,1838116.0,ns,40
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,2757825.0,ns,60
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,4099337.0,ns,80
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,4579540.0,ns,100
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,5542250.0,ns,120
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,7562867.0,ns,140
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,7365066.0,ns,160
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,8809078.0,ns,180
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,10585795.0,ns,200
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,11842205.0,ns,220
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,12471611.0,ns,240
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,13582021.0,ns,260
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,14718932.0,ns,280
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,16379646.0,ns,300
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,17475355.0,ns,320
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,18023061.0,ns,340
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,19617575.0,ns,360
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,20906186.0,ns,380
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,22153098.0,ns,400
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,22020296.0,ns,420
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,23940213.0,ns,440
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,23737512.0,ns,460
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,24337817.0,ns,480
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,25458027.0,ns,500
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,26989040.0,ns,520
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,28059150.0,ns,540
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,28474254.0,ns,560
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,29467062.0,ns,580
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,43242585.0,ns,600
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,30356670.0,ns,620
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,30657373.0,ns,640
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,31190378.0,ns,660
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,32117185.0,ns,680
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,37090731.0,ns,700
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,36206722.0,ns,720
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,38276940.0,ns,740
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,39275950.0,ns,760
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,41207967.0,ns,780
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,41128166.0,ns,800
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,42773380.0,ns,820
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,43703389.0,ns,840
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,45473205.0,ns,860
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,45223303.0,ns,880
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,45772307.0,ns,900
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,49203138.0,ns,920
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,53854379.0,ns,940
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,51001654.0,ns,960
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,49103837.0,ns,980
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,51459758.0,ns,1000
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,54725087.0,ns,1020
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,67192497.0,ns,1040
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,57469411.0,ns,1060
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,53853379.0,ns,1080
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,56297700.0,ns,1100
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,60214535.0,ns,1120
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,59974133.0,ns,1140
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,57361910.0,ns,1160
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,61703448.0,ns,1180
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,61209644.0,ns,1200
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,61104643.0,ns,1220
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,66091187.0,ns,1240
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,65567683.0,ns,1260
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,69620019.0,ns,1280
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,68470708.0,ns,1300
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,67824203.0,ns,1320
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,71803338.0,ns,1340
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,70249723.0,ns,1360
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,73426752.0,ns,1380
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,71788837.0,ns,1400
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,72018939.0,ns,1420
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,71364233.0,ns,1440
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,79225303.0,ns,1460
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,75511070.0,ns,1480
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,75595471.0,ns,1500
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,93256827.0,ns,1520
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,80243312.0,ns,1540
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,81688225.0,ns,1560
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,78017692.0,ns,1580
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,79714008.0,ns,1600
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,88648085.0,ns,1620
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,80826217.0,ns,1640
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,84947152.0,ns,1660
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,84983653.0,ns,1680
mate_in_1,,https://lichess.org/analysis/1r2r3/Nbpkn1pp/1b6/8/8/3B1P2/Pq3P1P/3RR1K1_w_-,,,87695177.0,ns,1700
