group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/1r3b2/1bp2p1p/p1q2k1N/1p1n1p1n/8/2P3QP/PPB2PP1/4R1K1_w_-,,,1322056.0,ns,2
mate_in_1,,https://lichess.org/analysis/1r3b2/1bp2p1p/p1q2k1N/1p1n1p1n/8/2P3QP/PPB2PP1/4R1K1_w_-,,,2012184.0,ns,4
mate_in_1,,https://lichess.org/analysis/1r3b2/1bp2p1p/p1q2k1N/1p1n1p1n/8/2P3QP/PPB2PP1/4R1K1_w_-,,,3023527.0,ns,6
mate_in_1,,https://lichess.org/analysis/1r3b2/1bp2p1p/p1q2k1N/1p1n1p1n/8/2P3QP/PPB2PP1/4R1K1_w_-,,,4004668.0,ns,8
mate_in_1,,https://lichess.org/analysis/1r3b2/1bp2p1p/p1q2k1N/1p1n1p1n/8/2P3QP/PPB2PP1/4R1K1_w_-,,,4744599.0,ns,10
mate_in_1,,https://lichess.org/analysis/1r3b2/1bp2p1p/p1q2k1N/1p1n1p1n/8/2P3QP/PPB2PP1/4R1K1_w_-,,,5759042.0,ns,12
mate_in_1,,https://lichess.org/analysis/1r3b2/1bp2p1p/p1q2k1N/1p1n1p1n/8/2P3QP/PPB2PP1/4R1K1_w_-,,,7681422.0,ns,14
mate_in_1,,https://lichess.org/analysis/1r3b2/1bp2p1p/p1q2k1N/1p1n1p1n/8/2P3QP/PPB2PP1/4R1K1_w_-,,,8229745.0,ns,16
mate_in_1,,https://lichess.org/analysis/1r3b2/1bp2p1p/p1q2k1N/1p1n1p1n/8/2P3QP/PPB2PP1/4R1K1_w_-,,,9542700.0,ns,18
mate_in_1,,https://lichess.org/analysis/1r3b2/1bp2p1p/p1q2k1N/1p1n1p1n/8/2P3QP/PPB2PP1/4R1K1_w_-,,,10279831.0,ns,20
mate_in_1,,https://lichess.org/analysis/1r3b2/1bp2p1p/p1q2k1N/1p1n1p1n/8/2P3QP/PPB2PP1/4R1K1_w_-,,,10725250.0,ns,22
mate_in_1,,https://lichess.org/analysis/1r3b2/1bp2p1p/p1q2k1N/1p1n1p1n/8/2P3QP/PPB2PP1/4R1K1_w_-,,,13796179.0,ns,24
mate_in_1,,https://lichess.org/analysis/1r3b2/1bp2p1p/p1q2k1N/1p1n1p1n/8/2P3QP/PPB2PP1/4R1K1_w_-,,,12745035.0,ns,26
mate_in_1,,https://lichess.org/analysis/1r3b2/1bp2p1p/p1q2k1N/1p1n1p1n/8/2P3QP/PPB2PP1/4R1K1_w_-,,,14334202.0,ns,28
mate_in_1,,https://lichess.org/analysis/1r3b2/1bp2p1p/p1q2k1N/1p1n1p1n/8/2P3QP/PPB2PP1/4R1K1_w_-,,,13928184.0,ns,30
mate_in_1,,https://lichess.org/analysis/1r3b2/1bp2p1p/p1q2k1N/1p1n1p1n/8/2P3QP/PPB2PP1/4R1K1_w_-,,,13181953.0,ns,32
mate_in_1,,https://lichess.org/analysis/1r3b2/1bp2p1p/p1q2k1N/1p1n1p1n/8/2P3QP/PPB2PP1/4R1K1_w_-,,,16931111.0,ns,34
mate_in_1,,https://lichess.org/analysis/1r3b2/1bp2p1p/p1q2k1N/1p1n1p1n/8/2P3QP/PPB2PP1/4R1K1_w_-,,,13843481.0,ns,36
