group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/1r3k1b/2n1p3/3p2Q1/p1pq1pN1/bp6/7P/2P2PP1/4RBK1_w_-,,,1406269.0,ns,2
mate_in_1,,https://lichess.org/analysis/1r3k1b/2n1p3/3p2Q1/p1pq1pN1/bp6/7P/2P2PP1/4RBK1_w_-,,,1915395.0,ns,4
mate_in_1,,https://lichess.org/analysis/1r3k1b/2n1p3/3p2Q1/p1pq1pN1/bp6/7P/2P2PP1/4RBK1_w_-,,,3635279.0,ns,6
mate_in_1,,https://lichess.org/analysis/1r3k1b/2n1p3/3p2Q1/p1pq1pN1/bp6/7P/2P2PP1/4RBK1_w_-,,,3540475.0,ns,8
mate_in_1,,https://lichess.org/analysis/1r3k1b/2n1p3/3p2Q1/p1pq1pN1/bp6/7P/2P2PP1/4RBK1_w_-,,,4585127.0,ns,10
mate_in_1,,https://lichess.org/analysis/1r3k1b/2n1p3/3p2Q1/p1pq1pN1/bp6/7P/2P2PP1/4RBK1_w_-,,,5877890.0,ns,12
mate_in_1,,https://lichess.org/analysis/1r3k1b/2n1p3/3p2Q1/p1pq1pN1/bp6/7P/2P2PP1/4RBK1_w_-,,,6467419.0,ns,14
mate_in_1,,https://lichess.org/analysis/1r3k1b/2n1p3/3p2Q1/p1pq1pN1/bp6/7P/2P2PP1/4RBK1_w_-,,,7848288.0,ns,16
mate_in_1,,https://lichess.org/analysis/1r3k1b/2n1p3/3p2Q1/p1pq1pN1/bp6/7P/2P2PP1/4RBK1_w_-,,,8975943.0,ns,18
mate_in_1,,https://lichess.org/analysis/1r3k1b/2n1p3/3p2Q1/p1pq1pN1/bp6/7P/2P2PP1/4RBK1_w_-,,,10169102.0,ns,20
mate_in_1,,https://lichess.org/analysis/1r3k1b/2n1p3/3p2Q1/p1pq1pN1/bp6/7P/2P2PP1/4RBK1_w_-,,,10732730.0,ns,22
mate_in_1,,https://lichess.org/analysis/1r3k1b/2n1p3/3p2Q1/p1pq1pN1/bp6/7P/2P2PP1/4RBK1_w_-,,,11876087.0,ns,24
mate_in_1,,https://lichess.org/analysis/1r3k1b/2n1p3/3p2Q1/p1pq1pN1/bp6/7P/2P2PP1/4RBK1_w_-,,,12614923.0,ns,26
mate_in_1,,https://lichess.org/analysis/1r3k1b/2n1p3/3p2Q1/p1pq1pN1/bp6/7P/2P2PP1/4RBK1_w_-,,,12596322.0,ns,28
mate_in_1,,https://lichess.org/analysis/1r3k1b/2n1p3/3p2Q1/p1pq1pN1/bp6/7P/2P2PP1/4RBK1_w_-,,,16359107.0,ns,30
mate_in_1,,https://lichess.org/analysis/1r3k1b/2n1p3/3p2Q1/p1pq1pN1/bp6/7P/2P2PP1/4RBK1_w_-,,,16849532.0,ns,32
mate_in_1,,https://lichess.org/analysis/1r3k1b/2n1p3/3p2Q1/p1pq1pN1/bp6/7P/2P2PP1/4RBK1_w_-,,,12473016.0,ns,34
mate_in_1,,https://lichess.org/analysis/1r3k1b/2n1p3/3p2Q1/p1pq1pN1/bp6/7P/2P2PP1/4RBK1_w_-,,,11422864.0,ns,36
mate_in_1,,https://lichess.org/analysis/1r3k1b/2n1p3/3p2Q1/p1pq1pN1/bp6/7P/2P2PP1/4RBK1_w_-,,,16659723.0,ns,38
mate_in_1,,https://lichess.org/analysis/1r3k1b/2n1p3/3p2Q1/p1pq1pN1/bp6/7P/2P2PP1/4RBK1_w_-,,,19287152.0,ns,40
mate_in_1,,https://lichess.org/analysis/1r3k1b/2n1p3/3p2Q1/p1pq1pN1/bp6/7P/2P2PP1/4RBK1_w_-,,,15352358.0,ns,42
mate_in_1,,https://lichess.org/analysis/1r3k1b/2n1p3/3p2Q1/p1pq1pN1/bp6/7P/2P2PP1/4RBK1_w_-,,,21265950.0,ns,44
mate_in_1,,https://lichess.org/analysis/1r3k1b/2n1p3/3p2Q1/p1pq1pN1/bp6/7P/2P2PP1/4RBK1_w_-,,,14675425.0,ns,46
mate_in_1,,https://lichess.org/analysis/1r3k1b/2n1p3/3p2Q1/p1pq1pN1/bp6/7P/2P2PP1/4RBK1_w_-,,,20979536.0,ns,48
