group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP3/pp1P4/4q3/8/PP4RK/2Q2R2_b_-,,,1415487.0,ns,3
mate_in_1,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP3/pp1P4/4q3/8/PP4RK/2Q2R2_b_-,,,2230437.0,ns,6
mate_in_1,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP3/pp1P4/4q3/8/PP4RK/2Q2R2_b_-,,,4822897.0,ns,9
mate_in_1,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP3/pp1P4/4q3/8/PP4RK/2Q2R2_b_-,,,6153178.0,ns,12
mate_in_1,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP3/pp1P4/4q3/8/PP4RK/2Q2R2_b_-,,,7940589.0,ns,15
mate_in_1,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP3/pp1P4/4q3/8/PP4RK/2Q2R2_b_-,,,6639909.0,ns,18
mate_in_1,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP3/pp1P4/4q3/8/PP4RK/2Q2R2_b_-,,,7797280.0,ns,21
mate_in_1,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP3/pp1P4/4q3/8/PP4RK/2Q2R2_b_-,,,10999177.0,ns,24
mate_in_1,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP3/pp1P4/4q3/8/PP4RK/2Q2R2_b_-,,,9924611.0,ns,27
mate_in_1,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP3/pp1P4/4q3/8/PP4RK/2Q2R2_b_-,,,12909695.0,ns,30
mate_in_1,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP3/pp1P4/4q3/8/PP4RK/2Q2R2_b_-,,,10118924.0,ns,33
mate_in_1,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP3/pp1P4/4q3/8/PP4RK/2Q2R2_b_-,,,14870015.0,ns,36
mate_in_1,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP3/pp1P4/4q3/8/PP4RK/2Q2R2_b_-,,,17195759.0,ns,39
mate_in_1,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP3/pp1P4/4q3/8/PP4RK/2Q2R2_b_-,,,20282649.0,ns,42
mate_in_1,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP3/pp1P4/4q3/8/PP4RK/2Q2R2_b_-,,,20035534.0,ns,45
mate_in_1,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP3/pp1P4/4q3/8/PP4RK/2Q2R2_b_-,,,22611392.0,ns,48
mate_in_1,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP3/pp1P4/4q3/8/PP4RK/2Q2R2_b_-,,,23005517.0,ns,51
mate_in_1,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP3/pp1P4/4q3/8/PP4RK/2Q2R2_b_-,,,24686020.0,ns,54
mate_in_1,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP3/pp1P4/4q3/8/PP4RK/2Q2R2_b_-,,,25154750.0,ns,57
