group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/1r4rk/qp5p/3N4/3p4/p6P/P7/1b6/1KR3R1_w_-,,,1061541.0,ns,3
mate_in_1,,https://lichess.org/analysis/1r4rk/qp5p/3N4/3p4/p6P/P7/1b6/1KR3R1_w_-,,,2243986.0,ns,6
mate_in_1,,https://lichess.org/analysis/1r4rk/qp5p/3N4/3p4/p6P/P7/1b6/1KR3R1_w_-,,,3342328.0,ns,9
mate_in_1,,https://lichess.org/analysis/1r4rk/qp5p/3N4/3p4/p6P/P7/1b6/1KR3R1_w_-,,,4264063.0,ns,12
mate_in_1,,https://lichess.org/analysis/1r4rk/qp5p/3N4/3p4/p6P/P7/1b6/1KR3R1_w_-,,,5429308.0,ns,15
mate_in_1,,https://lichess.org/analysis/1r4rk/qp5p/3N4/3p4/p6P/P7/1b6/1KR3R1_w_-,,,7482186.0,ns,18
mate_in_1,,https://lichess.org/analysis/1r4rk/qp5p/3N4/3p4/p6P/P7/1b6/1KR3R1_w_-,,,7489088.0,ns,21
mate_in_1,,https://lichess.org/analysis/1r4rk/qp5p/3N4/3p4/p6P/P7/1b6/1KR3R1_w_-,,,9372959.0,ns,24
mate_in_1,,https://lichess.org/analysis/1r4rk/qp5p/3N4/3p4/p6P/P7/1b6/1KR3R1_w_-,,,9643469.0,ns,27
mate_in_1,,https://lichess.org/analysis/1r4rk/qp5p/3N4/3p4/p6P/P7/1b6/1KR3R1_w_-,,,10800014.0,ns,30
mate_in_1,,https://lichess.org/analysis/1r4rk/qp5p/3N4/3p4/p6P/P7/1b6/1KR3R1_w_-,,,13177106.0,ns,33
mate_in_1,,https://lichess.org/analysis/1r4rk/qp5p/3N4/3p4/p6P/P7/1b6/1KR3R1_w_-,,,13990836.0,ns,36
mate_in_1,,https://lichess.org/analysis/1r4rk/qp5p/3N4/3p4/p6P/P7/1b6/1KR3R1_w_-,,,10318095.0,ns,39
mate_in_1,,https://lichess.org/analysis/1r4rk/qp5p/3N4/3p4/p6P/P7/1b6/1KR3R1_w_-,,,10428900.0,ns,42
mate_in_1,,https://lichess.org/analysis/1r4rk/qp5p/3N4/3p4/p6P/P7/1b6/1KR3R1_w_-,,,15189782.0,ns,45
mate_in_1,,https://lichess.org/analysis/1r4rk/qp5p/3N4/3p4/p6P/P7/1b6/1KR3R1_w_-,,,18155196.0,ns,48
mate_in_1,,https://lichess.org/analysis/1r4rk/qp5p/3N4/3p4/p6P/P7/1b6/1KR3R1_w_-,,,20118071.0,ns,51
mate_in_1,,https://lichess.org/analysis/1r4rk/qp5p/3N4/3p4/p6P/P7/1b6/1KR3R1_w_-,,,19810660.0,ns,54
mate_in_1,,https://lichess.org/analysis/1r4rk/qp5p/3N4/3p4/p6P/P7/1b6/1KR3R1_w_-,,,20768696.0,ns,57
mate_in_1,,https://lichess.org/analysis/1r4rk/qp5p/3N4/3p4/p6P/P7/1b6/1KR3R1_w_-,,,24526240.0,ns,60
mate_in_1,,https://lichess.org/analysis/1r4rk/qp5p/3N4/3p4/p6P/P7/1b6/1KR3R1_w_-,,,24400035.0,ns,63
mate_in_1,,https://lichess.org/analysis/1r4rk/qp5p/3N4/3p4/p6P/P7/1b6/1KR3R1_w_-,,,24985558.0,ns,66
