group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/P1p4P/Q1N5/K1n5/6RR_b_-,,,1197746.0,ns,3
mate_in_1,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/P1p4P/Q1N5/K1n5/6RR_b_-,,,2132082.0,ns,6
mate_in_1,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/P1p4P/Q1N5/K1n5/6RR_b_-,,,3524735.0,ns,9
mate_in_1,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/P1p4P/Q1N5/K1n5/6RR_b_-,,,4767982.0,ns,12
mate_in_1,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/P1p4P/Q1N5/K1n5/6RR_b_-,,,5875125.0,ns,15
mate_in_1,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/P1p4P/Q1N5/K1n5/6RR_b_-,,,7050169.0,ns,18
mate_in_1,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/P1p4P/Q1N5/K1n5/6RR_b_-,,,7967705.0,ns,21
mate_in_1,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/P1p4P/Q1N5/K1n5/6RR_b_-,,,8960642.0,ns,24
mate_in_1,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/P1p4P/Q1N5/K1n5/6RR_b_-,,,11424637.0,ns,27
mate_in_1,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/P1p4P/Q1N5/K1n5/6RR_b_-,,,12564181.0,ns,30
mate_in_1,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/P1p4P/Q1N5/K1n5/6RR_b_-,,,13624821.0,ns,33
mate_in_1,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/P1p4P/Q1N5/K1n5/6RR_b_-,,,14087138.0,ns,36
mate_in_1,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/P1p4P/Q1N5/K1n5/6RR_b_-,,,15628198.0,ns,39
mate_in_1,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/P1p4P/Q1N5/K1n5/6RR_b_-,,,14511855.0,ns,42
mate_in_1,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/P1p4P/Q1N5/K1n5/6RR_b_-,,,17208558.0,ns,45
mate_in_1,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/P1p4P/Q1N5/K1n5/6RR_b_-,,,19326139.0,ns,48
mate_in_1,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/P1p4P/Q1N5/K1n5/6RR_b_-,,,20137270.0,ns,51
mate_in_1,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/P1p4P/Q1N5/K1n5/6RR_b_-,,,21791733.0,ns,54
mate_in_1,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/P1p4P/Q1N5/K1n5/6RR_b_-,,,22500961.0,ns,57
mate_in_1,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/P1p4P/Q1N5/K1n5/6RR_b_-,,,23960716.0,ns,60
mate_in_1,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/P1p4P/Q1N5/K1n5/6RR_b_-,,,20277375.0,ns,63
