group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,1577689.0,ns,5
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,2338232.0,ns,10
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,3629405.0,ns,15
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,4747169.0,ns,20
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,6686379.0,ns,25
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,7213508.0,ns,30
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,8818999.0,ns,35
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,23113509.0,ns,40
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,27876578.0,ns,45
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,14031695.0,ns,50
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,15306366.0,ns,55
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,21296006.0,ns,60
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,19442801.0,ns,65
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,20951186.0,ns,70
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,22616280.0,ns,75
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,23154511.0,ns,80
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,23514332.0,ns,85
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,25738957.0,ns,90
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,25457741.0,ns,95
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,22913397.0,ns,100
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,21731731.0,ns,105
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,25961570.0,ns,110
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,27919480.0,ns,115
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,27975284.0,ns,120
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,27549560.0,ns,125
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,30771842.0,ns,130
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,29393364.0,ns,135
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,36705578.0,ns,140
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,37599529.0,ns,145
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,37496323.0,ns,150
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,39682246.0,ns,155
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,43701275.0,ns,160
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,42710418.0,ns,165
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,44454516.0,ns,170
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,55920366.0,ns,175
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,64496252.0,ns,180
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,44119198.0,ns,185
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,44764232.0,ns,190
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,42675412.0,ns,195
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,51831329.0,ns,200
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,52317357.0,ns,205
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,54039254.0,ns,210
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,55970464.0,ns,215
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,49943923.0,ns,220
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,50544457.0,ns,225
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,59643071.0,ns,230
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,66988086.0,ns,235
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,66587164.0,ns,240
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,63145069.0,ns,245
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,64296835.0,ns,250
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,66847678.0,ns,255
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,99895246.0,ns,260
mate_in_1,,https://lichess.org/analysis/1r5q/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K2_w_-,,,75160549.0,ns,265
