group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,1702058.0,ns,3
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,2833698.0,ns,6
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,4285647.0,ns,9
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,5604093.0,ns,12
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,7044243.0,ns,15
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,12147118.0,ns,18
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,9102714.0,ns,21
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,10168150.0,ns,24
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,11421493.0,ns,27
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,13495965.0,ns,30
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,13316659.0,ns,33
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,13764074.0,ns,36
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,12584633.0,ns,39
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,13454763.0,ns,42
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,22005058.0,ns,45
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,20687013.0,ns,48
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,24666949.0,ns,51
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,22614779.0,ns,54
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,24454342.0,ns,57
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,26885426.0,ns,60
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,28796792.0,ns,63
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,28650086.0,ns,66
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,31745394.0,ns,69
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,32291712.0,ns,72
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,32825630.0,ns,75
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,34774998.0,ns,78
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,33914367.0,ns,81
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,39036545.0,ns,84
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,38938140.0,ns,87
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,36922972.0,ns,90
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,40602298.0,ns,93
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,42740771.0,ns,96
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,43774007.0,ns,99
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,46054585.0,ns,102
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,47207226.0,ns,105
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,45703473.0,ns,108
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,50596242.0,ns,111
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,52434105.0,ns,114
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,51179662.0,ns,117
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,51367269.0,ns,120
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,51458272.0,ns,123
mate_in_1,,https://lichess.org/analysis/2Q5/pp2rk1p/3p3q/2bP1p2/6R1/1P2P3/PB3P1P/7K_w_-,,,52172696.0,ns,126
