group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/2b2nk1/1p5p/2p3pQ/3qB3/3P4/3B3P/r5P1/6K1_w_-,,,1195664.0,ns,3
mate_in_1,,https://lichess.org/analysis/2b2nk1/1p5p/2p3pQ/3qB3/3P4/3B3P/r5P1/6K1_w_-,,,2565438.0,ns,6
mate_in_1,,https://lichess.org/analysis/2b2nk1/1p5p/2p3pQ/3qB3/3P4/3B3P/r5P1/6K1_w_-,,,3296877.0,ns,9
mate_in_1,,https://lichess.org/analysis/2b2nk1/1p5p/2p3pQ/3qB3/3P4/3B3P/r5P1/6K1_w_-,,,4705653.0,ns,12
mate_in_1,,https://lichess.org/analysis/2b2nk1/1p5p/2p3pQ/3qB3/3P4/3B3P/r5P1/6K1_w_-,,,5526997.0,ns,15
mate_in_1,,https://lichess.org/analysis/2b2nk1/1p5p/2p3pQ/3qB3/3P4/3B3P/r5P1/6K1_w_-,,,6597155.0,ns,18
mate_in_1,,https://lichess.org/analysis/2b2nk1/1p5p/2p3pQ/3qB3/3P4/3B3P/r5P1/6K1_w_-,,,7890525.0,ns,21
mate_in_1,,https://lichess.org/analysis/2b2nk1/1p5p/2p3pQ/3qB3/3P4/3B3P/r5P1/6K1_w_-,,,10735478.0,ns,24
mate_in_1,,https://lichess.org/analysis/2b2nk1/1p5p/2p3pQ/3qB3/3P4/3B3P/r5P1/6K1_w_-,,,11211303.0,ns,27
mate_in_1,,https://lichess.org/analysis/2b2nk1/1p5p/2p3pQ/3qB3/3P4/3B3P/r5P1/6K1_w_-,,,16146069.0,ns,30
mate_in_1,,https://lichess.org/analysis/2b2nk1/1p5p/2p3pQ/3qB3/3P4/3B3P/r5P1/6K1_w_-,,,15999461.0,ns,33
mate_in_1,,https://lichess.org/analysis/2b2nk1/1p5p/2p3pQ/3qB3/3P4/3B3P/r5P1/6K1_w_-,,,30885962.0,ns,36
mate_in_1,,https://lichess.org/analysis/2b2nk1/1p5p/2p3pQ/3qB3/3P4/3B3P/r5P1/6K1_w_-,,,28212918.0,ns,39
mate_in_1,,https://lichess.org/analysis/2b2nk1/1p5p/2p3pQ/3qB3/3P4/3B3P/r5P1/6K1_w_-,,,19752763.0,ns,42
mate_in_1,,https://lichess.org/analysis/2b2nk1/1p5p/2p3pQ/3qB3/3P4/3B3P/r5P1/6K1_w_-,,,19584754.0,ns,45
mate_in_1,,https://lichess.org/analysis/2b2nk1/1p5p/2p3pQ/3qB3/3P4/3B3P/r5P1/6K1_w_-,,,21960582.0,ns,48
mate_in_1,,https://lichess.org/analysis/2b2nk1/1p5p/2p3pQ/3qB3/3P4/3B3P/r5P1/6K1_w_-,,,22261898.0,ns,51
mate_in_1,,https://lichess.org/analysis/2b2nk1/1p5p/2p3pQ/3qB3/3P4/3B3P/r5P1/6K1_w_-,,,33487302.0,ns,54
mate_in_1,,https://lichess.org/analysis/2b2nk1/1p5p/2p3pQ/3qB3/3P4/3B3P/r5P1/6K1_w_-,,,28855753.0,ns,57
mate_in_1,,https://lichess.org/analysis/2b2nk1/1p5p/2p3pQ/3qB3/3P4/3B3P/r5P1/6K1_w_-,,,29326478.0,ns,60
mate_in_1,,https://lichess.org/analysis/2b2nk1/1p5p/2p3pQ/3qB3/3P4/3B3P/r5P1/6K1_w_-,,,32644756.0,ns,63
mate_in_1,,https://lichess.org/analysis/2b2nk1/1p5p/2p3pQ/3qB3/3P4/3B3P/r5P1/6K1_w_-,,,22512612.0,ns,66
mate_in_1,,https://lichess.org/analysis/2b2nk1/1p5p/2p3pQ/3qB3/3P4/3B3P/r5P1/6K1_w_-,,,22570214.0,ns,69
mate_in_1,,https://lichess.org/analysis/2b2nk1/1p5p/2p3pQ/3qB3/3P4/3B3P/r5P1/6K1_w_-,,,23715277.0,ns,72
mate_in_1,,https://lichess.org/analysis/2b2nk1/1p5p/2p3pQ/3qB3/3P4/3B3P/r5P1/6K1_w_-,,,27428576.0,ns,75
mate_in_1,,https://lichess.org/analysis/2b2nk1/1p5p/2p3pQ/3qB3/3P4/3B3P/r5P1/6K1_w_-,,,25246558.0,ns,78
