group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/2b3k1/6p1/p2bp3/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q3K_b_-,,,1286750.0,ns,4
mate_in_1,,https://lichess.org/analysis/2b3k1/6p1/p2bp3/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q3K_b_-,,,1968977.0,ns,8
mate_in_1,,https://lichess.org/analysis/2b3k1/6p1/p2bp3/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q3K_b_-,,,3035519.0,ns,12
mate_in_1,,https://lichess.org/analysis/2b3k1/6p1/p2bp3/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q3K_b_-,,,4246565.0,ns,16
mate_in_1,,https://lichess.org/analysis/2b3k1/6p1/p2bp3/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q3K_b_-,,,5845428.0,ns,20
mate_in_1,,https://lichess.org/analysis/2b3k1/6p1/p2bp3/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q3K_b_-,,,7973611.0,ns,24
mate_in_1,,https://lichess.org/analysis/2b3k1/6p1/p2bp3/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q3K_b_-,,,9891186.0,ns,28
mate_in_1,,https://lichess.org/analysis/2b3k1/6p1/p2bp3/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q3K_b_-,,,11291441.0,ns,32
mate_in_1,,https://lichess.org/analysis/2b3k1/6p1/p2bp3/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q3K_b_-,,,12423584.0,ns,36
mate_in_1,,https://lichess.org/analysis/2b3k1/6p1/p2bp3/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q3K_b_-,,,13007608.0,ns,40
mate_in_1,,https://lichess.org/analysis/2b3k1/6p1/p2bp3/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q3K_b_-,,,13555229.0,ns,44
mate_in_1,,https://lichess.org/analysis/2b3k1/6p1/p2bp3/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q3K_b_-,,,14555967.0,ns,48
mate_in_1,,https://lichess.org/analysis/2b3k1/6p1/p2bp3/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q3K_b_-,,,15434802.0,ns,52
mate_in_1,,https://lichess.org/analysis/2b3k1/6p1/p2bp3/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q3K_b_-,,,17003863.0,ns,56
