group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/2b5/k2n1p2/p7/5R1B/2p4P/K1b5/1PQ1R3/6r1_b_-,,,1344166.0,ns,3
mate_in_1,,https://lichess.org/analysis/2b5/k2n1p2/p7/5R1B/2p4P/K1b5/1PQ1R3/6r1_b_-,,,2107202.0,ns,6
mate_in_1,,https://lichess.org/analysis/2b5/k2n1p2/p7/5R1B/2p4P/K1b5/1PQ1R3/6r1_b_-,,,3345162.0,ns,9
mate_in_1,,https://lichess.org/analysis/2b5/k2n1p2/p7/5R1B/2p4P/K1b5/1PQ1R3/6r1_b_-,,,4360512.0,ns,12
mate_in_1,,https://lichess.org/analysis/2b5/k2n1p2/p7/5R1B/2p4P/K1b5/1PQ1R3/6r1_b_-,,,5276156.0,ns,15
mate_in_1,,https://lichess.org/analysis/2b5/k2n1p2/p7/5R1B/2p4P/K1b5/1PQ1R3/6r1_b_-,,,6639322.0,ns,18
mate_in_1,,https://lichess.org/analysis/2b5/k2n1p2/p7/5R1B/2p4P/K1b5/1PQ1R3/6r1_b_-,,,7492564.0,ns,21
mate_in_1,,https://lichess.org/analysis/2b5/k2n1p2/p7/5R1B/2p4P/K1b5/1PQ1R3/6r1_b_-,,,8532914.0,ns,24
mate_in_1,,https://lichess.org/analysis/2b5/k2n1p2/p7/5R1B/2p4P/K1b5/1PQ1R3/6r1_b_-,,,10651817.0,ns,27
mate_in_1,,https://lichess.org/analysis/2b5/k2n1p2/p7/5R1B/2p4P/K1b5/1PQ1R3/6r1_b_-,,,11000034.0,ns,30
mate_in_1,,https://lichess.org/analysis/2b5/k2n1p2/p7/5R1B/2p4P/K1b5/1PQ1R3/6r1_b_-,,,15403247.0,ns,33
mate_in_1,,https://lichess.org/analysis/2b5/k2n1p2/p7/5R1B/2p4P/K1b5/1PQ1R3/6r1_b_-,,,14922925.0,ns,36
mate_in_1,,https://lichess.org/analysis/2b5/k2n1p2/p7/5R1B/2p4P/K1b5/1PQ1R3/6r1_b_-,,,17214735.0,ns,39
mate_in_1,,https://lichess.org/analysis/2b5/k2n1p2/p7/5R1B/2p4P/K1b5/1PQ1R3/6r1_b_-,,,15217039.0,ns,42
mate_in_1,,https://lichess.org/analysis/2b5/k2n1p2/p7/5R1B/2p4P/K1b5/1PQ1R3/6r1_b_-,,,15765965.0,ns,45
mate_in_1,,https://lichess.org/analysis/2b5/k2n1p2/p7/5R1B/2p4P/K1b5/1PQ1R3/6r1_b_-,,,18424194.0,ns,48
mate_in_1,,https://lichess.org/analysis/2b5/k2n1p2/p7/5R1B/2p4P/K1b5/1PQ1R3/6r1_b_-,,,15800567.0,ns,51
mate_in_1,,https://lichess.org/analysis/2b5/k2n1p2/p7/5R1B/2p4P/K1b5/1PQ1R3/6r1_b_-,,,17401744.0,ns,54
mate_in_1,,https://lichess.org/analysis/2b5/k2n1p2/p7/5R1B/2p4P/K1b5/1PQ1R3/6r1_b_-,,,21862961.0,ns,57
mate_in_1,,https://lichess.org/analysis/2b5/k2n1p2/p7/5R1B/2p4P/K1b5/1PQ1R3/6r1_b_-,,,19765460.0,ns,60
mate_in_1,,https://lichess.org/analysis/2b5/k2n1p2/p7/5R1B/2p4P/K1b5/1PQ1R3/6r1_b_-,,,17277038.0,ns,63
mate_in_1,,https://lichess.org/analysis/2b5/k2n1p2/p7/5R1B/2p4P/K1b5/1PQ1R3/6r1_b_-,,,16311192.0,ns,66
