group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/2bq2k1/r1p1brpn/p2pP1Np/1p1B4/4P3/2P4P/PP3PP1/R1B1R1K1_w_-,,,1021139.0,ns,3
mate_in_1,,https://lichess.org/analysis/2bq2k1/r1p1brpn/p2pP1Np/1p1B4/4P3/2P4P/PP3PP1/R1B1R1K1_w_-,,,1997874.0,ns,6
mate_in_1,,https://lichess.org/analysis/2bq2k1/r1p1brpn/p2pP1Np/1p1B4/4P3/2P4P/PP3PP1/R1B1R1K1_w_-,,,3370227.0,ns,9
mate_in_1,,https://lichess.org/analysis/2bq2k1/r1p1brpn/p2pP1Np/1p1B4/4P3/2P4P/PP3PP1/R1B1R1K1_w_-,,,5395002.0,ns,12
mate_in_1,,https://lichess.org/analysis/2bq2k1/r1p1brpn/p2pP1Np/1p1B4/4P3/2P4P/PP3PP1/R1B1R1K1_w_-,,,5826818.0,ns,15
mate_in_1,,https://lichess.org/analysis/2bq2k1/r1p1brpn/p2pP1Np/1p1B4/4P3/2P4P/PP3PP1/R1B1R1K1_w_-,,,6902459.0,ns,18
mate_in_1,,https://lichess.org/analysis/2bq2k1/r1p1brpn/p2pP1Np/1p1B4/4P3/2P4P/PP3PP1/R1B1R1K1_w_-,,,7792191.0,ns,21
mate_in_1,,https://lichess.org/analysis/2bq2k1/r1p1brpn/p2pP1Np/1p1B4/4P3/2P4P/PP3PP1/R1B1R1K1_w_-,,,9172644.0,ns,24
mate_in_1,,https://lichess.org/analysis/2bq2k1/r1p1brpn/p2pP1Np/1p1B4/4P3/2P4P/PP3PP1/R1B1R1K1_w_-,,,11142717.0,ns,27
mate_in_1,,https://lichess.org/analysis/2bq2k1/r1p1brpn/p2pP1Np/1p1B4/4P3/2P4P/PP3PP1/R1B1R1K1_w_-,,,12474067.0,ns,30
mate_in_1,,https://lichess.org/analysis/2bq2k1/r1p1brpn/p2pP1Np/1p1B4/4P3/2P4P/PP3PP1/R1B1R1K1_w_-,,,12704276.0,ns,33
mate_in_1,,https://lichess.org/analysis/2bq2k1/r1p1brpn/p2pP1Np/1p1B4/4P3/2P4P/PP3PP1/R1B1R1K1_w_-,,,13491405.0,ns,36
mate_in_1,,https://lichess.org/analysis/2bq2k1/r1p1brpn/p2pP1Np/1p1B4/4P3/2P4P/PP3PP1/R1B1R1K1_w_-,,,15896795.0,ns,39
mate_in_1,,https://lichess.org/analysis/2bq2k1/r1p1brpn/p2pP1Np/1p1B4/4P3/2P4P/PP3PP1/R1B1R1K1_w_-,,,16155105.0,ns,42
mate_in_1,,https://lichess.org/analysis/2bq2k1/r1p1brpn/p2pP1Np/1p1B4/4P3/2P4P/PP3PP1/R1B1R1K1_w_-,,,16877633.0,ns,45
mate_in_1,,https://lichess.org/analysis/2bq2k1/r1p1brpn/p2pP1Np/1p1B4/4P3/2P4P/PP3PP1/R1B1R1K1_w_-,,,17987273.0,ns,48
mate_in_1,,https://lichess.org/analysis/2bq2k1/r1p1brpn/p2pP1Np/1p1B4/4P3/2P4P/PP3PP1/R1B1R1K1_w_-,,,19764441.0,ns,51
mate_in_1,,https://lichess.org/analysis/2bq2k1/r1p1brpn/p2pP1Np/1p1B4/4P3/2P4P/PP3PP1/R1B1R1K1_w_-,,,20780878.0,ns,54
mate_in_1,,https://lichess.org/analysis/2bq2k1/r1p1brpn/p2pP1Np/1p1B4/4P3/2P4P/PP3PP1/R1B1R1K1_w_-,,,23974298.0,ns,57
mate_in_1,,https://lichess.org/analysis/2bq2k1/r1p1brpn/p2pP1Np/1p1B4/4P3/2P4P/PP3PP1/R1B1R1K1_w_-,,,24966935.0,ns,60
mate_in_1,,https://lichess.org/analysis/2bq2k1/r1p1brpn/p2pP1Np/1p1B4/4P3/2P4P/PP3PP1/R1B1R1K1_w_-,,,26683099.0,ns,63
mate_in_1,,https://lichess.org/analysis/2bq2k1/r1p1brpn/p2pP1Np/1p1B4/4P3/2P4P/PP3PP1/R1B1R1K1_w_-,,,27872844.0,ns,66
mate_in_1,,https://lichess.org/analysis/2bq2k1/r1p1brpn/p2pP1Np/1p1B4/4P3/2P4P/PP3PP1/R1B1R1K1_w_-,,,29374801.0,ns,69
mate_in_1,,https://lichess.org/analysis/2bq2k1/r1p1brpn/p2pP1Np/1p1B4/4P3/2P4P/PP3PP1/R1B1R1K1_w_-,,,30285834.0,ns,72
mate_in_1,,https://lichess.org/analysis/2bq2k1/r1p1brpn/p2pP1Np/1p1B4/4P3/2P4P/PP3PP1/R1B1R1K1_w_-,,,28960285.0,ns,75
mate_in_1,,https://lichess.org/analysis/2bq2k1/r1p1brpn/p2pP1Np/1p1B4/4P3/2P4P/PP3PP1/R1B1R1K1_w_-,,,30738851.0,ns,78
mate_in_1,,https://lichess.org/analysis/2bq2k1/r1p1brpn/p2pP1Np/1p1B4/4P3/2P4P/PP3PP1/R1B1R1K1_w_-,,,30618847.0,ns,81
mate_in_1,,https://lichess.org/analysis/2bq2k1/r1p1brpn/p2pP1Np/1p1B4/4P3/2P4P/PP3PP1/R1B1R1K1_w_-,,,34287084.0,ns,84
mate_in_1,,https://lichess.org/analysis/2bq2k1/r1p1brpn/p2pP1Np/1p1B4/4P3/2P4P/PP3PP1/R1B1R1K1_w_-,,,33727963.0,ns,87
