group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/2k1r2r/ppp3p1/3b4/3pq3/7p/2NP1b2/PPP2QRP/R6K_b_-,,,1895387.0,ns,3
mate_in_1,,https://lichess.org/analysis/2k1r2r/ppp3p1/3b4/3pq3/7p/2NP1b2/PPP2QRP/R6K_b_-,,,3097841.0,ns,6
mate_in_1,,https://lichess.org/analysis/2k1r2r/ppp3p1/3b4/3pq3/7p/2NP1b2/PPP2QRP/R6K_b_-,,,4385501.0,ns,9
mate_in_1,,https://lichess.org/analysis/2k1r2r/ppp3p1/3b4/3pq3/7p/2NP1b2/PPP2QRP/R6K_b_-,,,5289642.0,ns,12
mate_in_1,,https://lichess.org/analysis/2k1r2r/ppp3p1/3b4/3pq3/7p/2NP1b2/PPP2QRP/R6K_b_-,,,7199129.0,ns,15
mate_in_1,,https://lichess.org/analysis/2k1r2r/ppp3p1/3b4/3pq3/7p/2NP1b2/PPP2QRP/R6K_b_-,,,7411638.0,ns,18
mate_in_1,,https://lichess.org/analysis/2k1r2r/ppp3p1/3b4/3pq3/7p/2NP1b2/PPP2QRP/R6K_b_-,,,8847605.0,ns,21
mate_in_1,,https://lichess.org/analysis/2k1r2r/ppp3p1/3b4/3pq3/7p/2NP1b2/PPP2QRP/R6K_b_-,,,10296870.0,ns,24
mate_in_1,,https://lichess.org/analysis/2k1r2r/ppp3p1/3b4/3pq3/7p/2NP1b2/PPP2QRP/R6K_b_-,,,10558783.0,ns,27
mate_in_1,,https://lichess.org/analysis/2k1r2r/ppp3p1/3b4/3pq3/7p/2NP1b2/PPP2QRP/R6K_b_-,,,13088398.0,ns,30
mate_in_1,,https://lichess.org/analysis/2k1r2r/ppp3p1/3b4/3pq3/7p/2NP1b2/PPP2QRP/R6K_b_-,,,14504463.0,ns,33
mate_in_1,,https://lichess.org/analysis/2k1r2r/ppp3p1/3b4/3pq3/7p/2NP1b2/PPP2QRP/R6K_b_-,,,15439706.0,ns,36
mate_in_1,,https://lichess.org/analysis/2k1r2r/ppp3p1/3b4/3pq3/7p/2NP1b2/PPP2QRP/R6K_b_-,,,16744465.0,ns,39
mate_in_1,,https://lichess.org/analysis/2k1r2r/ppp3p1/3b4/3pq3/7p/2NP1b2/PPP2QRP/R6K_b_-,,,17807114.0,ns,42
mate_in_1,,https://lichess.org/analysis/2k1r2r/ppp3p1/3b4/3pq3/7p/2NP1b2/PPP2QRP/R6K_b_-,,,19119673.0,ns,45
mate_in_1,,https://lichess.org/analysis/2k1r2r/ppp3p1/3b4/3pq3/7p/2NP1b2/PPP2QRP/R6K_b_-,,,27720967.0,ns,48
mate_in_1,,https://lichess.org/analysis/2k1r2r/ppp3p1/3b4/3pq3/7p/2NP1b2/PPP2QRP/R6K_b_-,,,19447389.0,ns,51
mate_in_1,,https://lichess.org/analysis/2k1r2r/ppp3p1/3b4/3pq3/7p/2NP1b2/PPP2QRP/R6K_b_-,,,22423725.0,ns,54
mate_in_1,,https://lichess.org/analysis/2k1r2r/ppp3p1/3b4/3pq3/7p/2NP1b2/PPP2QRP/R6K_b_-,,,22930548.0,ns,57
mate_in_1,,https://lichess.org/analysis/2k1r2r/ppp3p1/3b4/3pq3/7p/2NP1b2/PPP2QRP/R6K_b_-,,,24728630.0,ns,60
mate_in_1,,https://lichess.org/analysis/2k1r2r/ppp3p1/3b4/3pq3/7p/2NP1b2/PPP2QRP/R6K_b_-,,,25937785.0,ns,63
mate_in_1,,https://lichess.org/analysis/2k1r2r/ppp3p1/3b4/3pq3/7p/2NP1b2/PPP2QRP/R6K_b_-,,,25822081.0,ns,66
