group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/2k4r/1pp3pp/p1pr1pb1/3Pp3/Nq4P1/1P1PKN1P/2P1QP2/3R3R_b_-,,,1032563.0,ns,3
mate_in_1,,https://lichess.org/analysis/2k4r/1pp3pp/p1pr1pb1/3Pp3/Nq4P1/1P1PKN1P/2P1QP2/3R3R_b_-,,,2010522.0,ns,6
mate_in_1,,https://lichess.org/analysis/2k4r/1pp3pp/p1pr1pb1/3Pp3/Nq4P1/1P1PKN1P/2P1QP2/3R3R_b_-,,,3068485.0,ns,9
mate_in_1,,https://lichess.org/analysis/2k4r/1pp3pp/p1pr1pb1/3Pp3/Nq4P1/1P1PKN1P/2P1QP2/3R3R_b_-,,,4209655.0,ns,12
mate_in_1,,https://lichess.org/analysis/2k4r/1pp3pp/p1pr1pb1/3Pp3/Nq4P1/1P1PKN1P/2P1QP2/3R3R_b_-,,,6447790.0,ns,15
mate_in_1,,https://lichess.org/analysis/2k4r/1pp3pp/p1pr1pb1/3Pp3/Nq4P1/1P1PKN1P/2P1QP2/3R3R_b_-,,,6032065.0,ns,18
mate_in_1,,https://lichess.org/analysis/2k4r/1pp3pp/p1pr1pb1/3Pp3/Nq4P1/1P1PKN1P/2P1QP2/3R3R_b_-,,,7164233.0,ns,21
mate_in_1,,https://lichess.org/analysis/2k4r/1pp3pp/p1pr1pb1/3Pp3/Nq4P1/1P1PKN1P/2P1QP2/3R3R_b_-,,,8302903.0,ns,24
mate_in_1,,https://lichess.org/analysis/2k4r/1pp3pp/p1pr1pb1/3Pp3/Nq4P1/1P1PKN1P/2P1QP2/3R3R_b_-,,,9656284.0,ns,27
mate_in_1,,https://lichess.org/analysis/2k4r/1pp3pp/p1pr1pb1/3Pp3/Nq4P1/1P1PKN1P/2P1QP2/3R3R_b_-,,,10623442.0,ns,30
mate_in_1,,https://lichess.org/analysis/2k4r/1pp3pp/p1pr1pb1/3Pp3/Nq4P1/1P1PKN1P/2P1QP2/3R3R_b_-,,,11905021.0,ns,33
mate_in_1,,https://lichess.org/analysis/2k4r/1pp3pp/p1pr1pb1/3Pp3/Nq4P1/1P1PKN1P/2P1QP2/3R3R_b_-,,,16545600.0,ns,36
mate_in_1,,https://lichess.org/analysis/2k4r/1pp3pp/p1pr1pb1/3Pp3/Nq4P1/1P1PKN1P/2P1QP2/3R3R_b_-,,,14803596.0,ns,39
mate_in_1,,https://lichess.org/analysis/2k4r/1pp3pp/p1pr1pb1/3Pp3/Nq4P1/1P1PKN1P/2P1QP2/3R3R_b_-,,,17221342.0,ns,42
mate_in_1,,https://lichess.org/analysis/2k4r/1pp3pp/p1pr1pb1/3Pp3/Nq4P1/1P1PKN1P/2P1QP2/3R3R_b_-,,,15860459.0,ns,45
mate_in_1,,https://lichess.org/analysis/2k4r/1pp3pp/p1pr1pb1/3Pp3/Nq4P1/1P1PKN1P/2P1QP2/3R3R_b_-,,,18967648.0,ns,48
mate_in_1,,https://lichess.org/analysis/2k4r/1pp3pp/p1pr1pb1/3Pp3/Nq4P1/1P1PKN1P/2P1QP2/3R3R_b_-,,,18518820.0,ns,51
mate_in_1,,https://lichess.org/analysis/2k4r/1pp3pp/p1pr1pb1/3Pp3/Nq4P1/1P1PKN1P/2P1QP2/3R3R_b_-,,,20087415.0,ns,54
mate_in_1,,https://lichess.org/analysis/2k4r/1pp3pp/p1pr1pb1/3Pp3/Nq4P1/1P1PKN1P/2P1QP2/3R3R_b_-,,,19337470.0,ns,57
