group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,1436053.0,ns,3
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,2198580.0,ns,6
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,3428925.0,ns,9
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,5994919.0,ns,12
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,8284803.0,ns,15
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,9425144.0,ns,18
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,10282076.0,ns,21
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,12144743.0,ns,24
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,12437455.0,ns,27
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,11069904.0,ns,30
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,12227546.0,ns,33
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,13592397.0,ns,36
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,15679972.0,ns,39
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,15500566.0,ns,42
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,16604307.0,ns,45
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,18655681.0,ns,48
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,19904027.0,ns,51
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,24043278.0,ns,54
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,23126744.0,ns,57
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,23766468.0,ns,60
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,23667264.0,ns,63
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,26726976.0,ns,66
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,29803189.0,ns,69
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,28575443.0,ns,72
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,28399837.0,ns,75
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,30215304.0,ns,78
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,29897692.0,ns,81
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,32468985.0,ns,84
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,41290308.0,ns,87
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,44201414.0,ns,90
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,36162921.0,ns,93
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,30461912.0,ns,96
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,40951296.0,ns,99
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,50394840.0,ns,102
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,50271236.0,ns,105
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,41152802.0,ns,108
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,46965515.0,ns,111
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,42339947.0,ns,114
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,47064918.0,ns,117
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,57280892.0,ns,120
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,59514973.0,ns,123
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,59150859.0,ns,126
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,49015389.0,ns,129
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,63203107.0,ns,132
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,66617032.0,ns,135
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,67776474.0,ns,138
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,60228199.0,ns,141
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,57647304.0,ns,144
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,55501126.0,ns,147
mate_in_1,,https://lichess.org/analysis/2k5/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2b2/R1B2R1K_b_-,,,61406541.0,ns,150
