group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/2kr1b1r/p4ppp/2p1b2q/4B3/8/2PB2R1/PPP2PPP/3R2K1_w_-,,,2110079.0,ns,3
mate_in_1,,https://lichess.org/analysis/2kr1b1r/p4ppp/2p1b2q/4B3/8/2PB2R1/PPP2PPP/3R2K1_w_-,,,3344725.0,ns,6
mate_in_1,,https://lichess.org/analysis/2kr1b1r/p4ppp/2p1b2q/4B3/8/2PB2R1/PPP2PPP/3R2K1_w_-,,,5058089.0,ns,9
mate_in_1,,https://lichess.org/analysis/2kr1b1r/p4ppp/2p1b2q/4B3/8/2PB2R1/PPP2PPP/3R2K1_w_-,,,6654349.0,ns,12
mate_in_1,,https://lichess.org/analysis/2kr1b1r/p4ppp/2p1b2q/4B3/8/2PB2R1/PPP2PPP/3R2K1_w_-,,,8575120.0,ns,15
mate_in_1,,https://lichess.org/analysis/2kr1b1r/p4ppp/2p1b2q/4B3/8/2PB2R1/PPP2PPP/3R2K1_w_-,,,9897270.0,ns,18
mate_in_1,,https://lichess.org/analysis/2kr1b1r/p4ppp/2p1b2q/4B3/8/2PB2R1/PPP2PPP/3R2K1_w_-,,,12182655.0,ns,21
mate_in_1,,https://lichess.org/analysis/2kr1b1r/p4ppp/2p1b2q/4B3/8/2PB2R1/PPP2PPP/3R2K1_w_-,,,13773114.0,ns,24
mate_in_1,,https://lichess.org/analysis/2kr1b1r/p4ppp/2p1b2q/4B3/8/2PB2R1/PPP2PPP/3R2K1_w_-,,,15004361.0,ns,27
mate_in_1,,https://lichess.org/analysis/2kr1b1r/p4ppp/2p1b2q/4B3/8/2PB2R1/PPP2PPP/3R2K1_w_-,,,15163966.0,ns,30
mate_in_1,,https://lichess.org/analysis/2kr1b1r/p4ppp/2p1b2q/4B3/8/2PB2R1/PPP2PPP/3R2K1_w_-,,,14892257.0,ns,33
mate_in_1,,https://lichess.org/analysis/2kr1b1r/p4ppp/2p1b2q/4B3/8/2PB2R1/PPP2PPP/3R2K1_w_-,,,16579219.0,ns,36
mate_in_1,,https://lichess.org/analysis/2kr1b1r/p4ppp/2p1b2q/4B3/8/2PB2R1/PPP2PPP/3R2K1_w_-,,,17863367.0,ns,39
mate_in_1,,https://lichess.org/analysis/2kr1b1r/p4ppp/2p1b2q/4B3/8/2PB2R1/PPP2PPP/3R2K1_w_-,,,20126752.0,ns,42
mate_in_1,,https://lichess.org/analysis/2kr1b1r/p4ppp/2p1b2q/4B3/8/2PB2R1/PPP2PPP/3R2K1_w_-,,,20324859.0,ns,45
mate_in_1,,https://lichess.org/analysis/2kr1b1r/p4ppp/2p1b2q/4B3/8/2PB2R1/PPP2PPP/3R2K1_w_-,,,22106826.0,ns,48
mate_in_1,,https://lichess.org/analysis/2kr1b1r/p4ppp/2p1b2q/4B3/8/2PB2R1/PPP2PPP/3R2K1_w_-,,,22592044.0,ns,51
mate_in_1,,https://lichess.org/analysis/2kr1b1r/p4ppp/2p1b2q/4B3/8/2PB2R1/PPP2PPP/3R2K1_w_-,,,25210442.0,ns,54
mate_in_1,,https://lichess.org/analysis/2kr1b1r/p4ppp/2p1b2q/4B3/8/2PB2R1/PPP2PPP/3R2K1_w_-,,,27445325.0,ns,57
mate_in_1,,https://lichess.org/analysis/2kr1b1r/p4ppp/2p1b2q/4B3/8/2PB2R1/PPP2PPP/3R2K1_w_-,,,30202328.0,ns,60
