group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,1017830.0,ns,3
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,1317938.0,ns,6
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,2080161.0,ns,9
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,2657177.0,ns,12
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,3236395.0,ns,15
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,3939015.0,ns,18
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,4780840.0,ns,21
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,9258770.0,ns,24
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,8362945.0,ns,27
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,9676482.0,ns,30
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,10730814.0,ns,33
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,11820045.0,ns,36
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,15192044.0,ns,39
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,16266175.0,ns,42
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,16836592.0,ns,45
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,20119588.0,ns,48
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,21451626.0,ns,51
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,19013655.0,ns,54
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,20607602.0,ns,57
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,20898010.0,ns,60
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,23060074.0,ns,63
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,22057044.0,ns,66
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,25252437.0,ns,69
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,23979201.0,ns,72
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,27046390.0,ns,75
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,26526875.0,ns,78
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,27287897.0,ns,81
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,27461802.0,ns,84
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,29566263.0,ns,87
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,31404217.0,ns,90
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,31270614.0,ns,93
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,34135397.0,ns,96
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,39778562.0,ns,99
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,38889235.0,ns,102
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,37875307.0,ns,105
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,31777628.0,ns,108
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,33132867.0,ns,111
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,32272942.0,ns,114
mate_in_1,,https://lichess.org/analysis/2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1_w_-,,,37128985.0,ns,117
