group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,1570080.0,ns,3
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,2749440.0,ns,6
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,3977703.0,ns,9
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,6354623.0,ns,12
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,5834997.0,ns,15
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,7392076.0,ns,18
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,8482231.0,ns,21
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,9884703.0,ns,24
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,10660443.0,ns,27
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,12989361.0,ns,30
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,12374629.0,ns,33
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,13076065.0,ns,36
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,12578040.0,ns,39
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,15030765.0,ns,42
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,18948764.0,ns,45
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,15444186.0,ns,48
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,17493790.0,ns,51
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,17266678.0,ns,54
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,18237828.0,ns,57
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,23041172.0,ns,60
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,23053873.0,ns,63
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,26481148.0,ns,66
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,23809811.0,ns,69
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,26158831.0,ns,72
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,28324341.0,ns,75
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,29757414.0,ns,78
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,32120334.0,ns,81
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,31833719.0,ns,84
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,34206540.0,ns,87
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,38540061.0,ns,90
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,35740018.0,ns,93
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,38975883.0,ns,96
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,42438359.0,ns,99
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,46555768.0,ns,102
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,47883535.0,ns,105
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,49074395.0,ns,108
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,49842635.0,ns,111
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,47121996.0,ns,114
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,44951986.0,ns,117
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,48314856.0,ns,120
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,59729637.0,ns,123
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,50875987.0,ns,126
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,50633075.0,ns,129
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,50416263.0,ns,132
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,52496970.0,ns,135
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,55514323.0,ns,138
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,52514970.0,ns,141
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,52602375.0,ns,144
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,57485623.0,ns,147
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,67733544.0,ns,150
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,68608288.0,ns,153
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,80788808.0,ns,156
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,75756950.0,ns,159
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,57857840.0,ns,162
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,64758491.0,ns,165
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,63184511.0,ns,168
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,64495378.0,ns,171
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,71102213.0,ns,174
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,70489882.0,ns,177
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,72130866.0,ns,180
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,71615140.0,ns,183
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,71689243.0,ns,186
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,73333727.0,ns,189
mate_in_1,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/1KPQ2PP/r2RN3_b_-,,,73891755.0,ns,192
