group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/2r5/2R5/3npkp1/3bN1p1/p4P2/4K3/P1B4P/8_w_-,,,1381782.0,ns,3
mate_in_1,,https://lichess.org/analysis/2r5/2R5/3npkp1/3bN1p1/p4P2/4K3/P1B4P/8_w_-,,,2025820.0,ns,6
mate_in_1,,https://lichess.org/analysis/2r5/2R5/3npkp1/3bN1p1/p4P2/4K3/P1B4P/8_w_-,,,3146186.0,ns,9
mate_in_1,,https://lichess.org/analysis/2r5/2R5/3npkp1/3bN1p1/p4P2/4K3/P1B4P/8_w_-,,,4196249.0,ns,12
mate_in_1,,https://lichess.org/analysis/2r5/2R5/3npkp1/3bN1p1/p4P2/4K3/P1B4P/8_w_-,,,5927950.0,ns,15
mate_in_1,,https://lichess.org/analysis/2r5/2R5/3npkp1/3bN1p1/p4P2/4K3/P1B4P/8_w_-,,,7702956.0,ns,18
mate_in_1,,https://lichess.org/analysis/2r5/2R5/3npkp1/3bN1p1/p4P2/4K3/P1B4P/8_w_-,,,9153042.0,ns,21
mate_in_1,,https://lichess.org/analysis/2r5/2R5/3npkp1/3bN1p1/p4P2/4K3/P1B4P/8_w_-,,,8620710.0,ns,24
mate_in_1,,https://lichess.org/analysis/2r5/2R5/3npkp1/3bN1p1/p4P2/4K3/P1B4P/8_w_-,,,10033794.0,ns,27
mate_in_1,,https://lichess.org/analysis/2r5/2R5/3npkp1/3bN1p1/p4P2/4K3/P1B4P/8_w_-,,,10835241.0,ns,30
mate_in_1,,https://lichess.org/analysis/2r5/2R5/3npkp1/3bN1p1/p4P2/4K3/P1B4P/8_w_-,,,11573985.0,ns,33
mate_in_1,,https://lichess.org/analysis/2r5/2R5/3npkp1/3bN1p1/p4P2/4K3/P1B4P/8_w_-,,,13615106.0,ns,36
mate_in_1,,https://lichess.org/analysis/2r5/2R5/3npkp1/3bN1p1/p4P2/4K3/P1B4P/8_w_-,,,15418412.0,ns,39
mate_in_1,,https://lichess.org/analysis/2r5/2R5/3npkp1/3bN1p1/p4P2/4K3/P1B4P/8_w_-,,,17926161.0,ns,42
mate_in_1,,https://lichess.org/analysis/2r5/2R5/3npkp1/3bN1p1/p4P2/4K3/P1B4P/8_w_-,,,15446914.0,ns,45
mate_in_1,,https://lichess.org/analysis/2r5/2R5/3npkp1/3bN1p1/p4P2/4K3/P1B4P/8_w_-,,,18317884.0,ns,48
mate_in_1,,https://lichess.org/analysis/2r5/2R5/3npkp1/3bN1p1/p4P2/4K3/P1B4P/8_w_-,,,17811654.0,ns,51
mate_in_1,,https://lichess.org/analysis/2r5/2R5/3npkp1/3bN1p1/p4P2/4K3/P1B4P/8_w_-,,,19832173.0,ns,54
mate_in_1,,https://lichess.org/analysis/2r5/2R5/3npkp1/3bN1p1/p4P2/4K3/P1B4P/8_w_-,,,19906578.0,ns,57
mate_in_1,,https://lichess.org/analysis/2r5/2R5/3npkp1/3bN1p1/p4P2/4K3/P1B4P/8_w_-,,,22279819.0,ns,60
mate_in_1,,https://lichess.org/analysis/2r5/2R5/3npkp1/3bN1p1/p4P2/4K3/P1B4P/8_w_-,,,22419126.0,ns,63
mate_in_1,,https://lichess.org/analysis/2r5/2R5/3npkp1/3bN1p1/p4P2/4K3/P1B4P/8_w_-,,,27250213.0,ns,66
mate_in_1,,https://lichess.org/analysis/2r5/2R5/3npkp1/3bN1p1/p4P2/4K3/P1B4P/8_w_-,,,24251535.0,ns,69
mate_in_1,,https://lichess.org/analysis/2r5/2R5/3npkp1/3bN1p1/p4P2/4K3/P1B4P/8_w_-,,,26604675.0,ns,72
mate_in_1,,https://lichess.org/analysis/2r5/2R5/3npkp1/3bN1p1/p4P2/4K3/P1B4P/8_w_-,,,26944494.0,ns,75
