group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,1011356.0,ns,3
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,2160520.0,ns,6
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,3225878.0,ns,9
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,4186731.0,ns,12
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,6276148.0,ns,15
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,5852424.0,ns,18
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,6919683.0,ns,21
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,8129550.0,ns,24
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,8817788.0,ns,27
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,9265913.0,ns,30
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,11691747.0,ns,33
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,12314882.0,ns,36
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,12616298.0,ns,39
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,13358740.0,ns,42
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,15569962.0,ns,45
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,18463722.0,ns,48
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,20062611.0,ns,51
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,17992996.0,ns,54
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,18577028.0,ns,57
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,26050642.0,ns,60
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,27669232.0,ns,63
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,29339424.0,ns,66
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,29776048.0,ns,69
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,32596104.0,ns,72
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,33492154.0,ns,75
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,34283398.0,ns,78
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,37306065.0,ns,81
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,43397302.0,ns,84
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,39991013.0,ns,87
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,41243083.0,ns,90
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,43204592.0,ns,93
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,43628215.0,ns,96
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,48845504.0,ns,99
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,46770790.0,ns,102
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,44492462.0,ns,105
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,34732121.0,ns,108
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,33984680.0,ns,111
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,40351032.0,ns,114
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,38942955.0,ns,117
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,41044970.0,ns,120
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,41251683.0,ns,123
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,43369499.0,ns,126
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,35522465.0,ns,129
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,41778411.0,ns,132
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,43739020.0,ns,135
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,48686193.0,ns,138
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,48770598.0,ns,141
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,49357231.0,ns,144
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,50652002.0,ns,147
mate_in_1,,https://lichess.org/analysis/2r5/3nb1p1/2q1p1k1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/6KR_w_-,,,48881204.0,ns,150
