group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/3R4/5p2/q1rn1k1p/4p3/4P1Q1/2N3P1/5P1P/6K1_w_-,,,1047445.0,ns,3
mate_in_1,,https://lichess.org/analysis/3R4/5p2/q1rn1k1p/4p3/4P1Q1/2N3P1/5P1P/6K1_w_-,,,2592410.0,ns,6
mate_in_1,,https://lichess.org/analysis/3R4/5p2/q1rn1k1p/4p3/4P1Q1/2N3P1/5P1P/6K1_w_-,,,3408145.0,ns,9
mate_in_1,,https://lichess.org/analysis/3R4/5p2/q1rn1k1p/4p3/4P1Q1/2N3P1/5P1P/6K1_w_-,,,4401487.0,ns,12
mate_in_1,,https://lichess.org/analysis/3R4/5p2/q1rn1k1p/4p3/4P1Q1/2N3P1/5P1P/6K1_w_-,,,5203521.0,ns,15
mate_in_1,,https://lichess.org/analysis/3R4/5p2/q1rn1k1p/4p3/4P1Q1/2N3P1/5P1P/6K1_w_-,,,6406772.0,ns,18
mate_in_1,,https://lichess.org/analysis/3R4/5p2/q1rn1k1p/4p3/4P1Q1/2N3P1/5P1P/6K1_w_-,,,8232350.0,ns,21
mate_in_1,,https://lichess.org/analysis/3R4/5p2/q1rn1k1p/4p3/4P1Q1/2N3P1/5P1P/6K1_w_-,,,8152646.0,ns,24
mate_in_1,,https://lichess.org/analysis/3R4/5p2/q1rn1k1p/4p3/4P1Q1/2N3P1/5P1P/6K1_w_-,,,10626951.0,ns,27
mate_in_1,,https://lichess.org/analysis/3R4/5p2/q1rn1k1p/4p3/4P1Q1/2N3P1/5P1P/6K1_w_-,,,10685054.0,ns,30
mate_in_1,,https://lichess.org/analysis/3R4/5p2/q1rn1k1p/4p3/4P1Q1/2N3P1/5P1P/6K1_w_-,,,12253721.0,ns,33
mate_in_1,,https://lichess.org/analysis/3R4/5p2/q1rn1k1p/4p3/4P1Q1/2N3P1/5P1P/6K1_w_-,,,13040254.0,ns,36
mate_in_1,,https://lichess.org/analysis/3R4/5p2/q1rn1k1p/4p3/4P1Q1/2N3P1/5P1P/6K1_w_-,,,14765427.0,ns,39
mate_in_1,,https://lichess.org/analysis/3R4/5p2/q1rn1k1p/4p3/4P1Q1/2N3P1/5P1P/6K1_w_-,,,14777228.0,ns,42
mate_in_1,,https://lichess.org/analysis/3R4/5p2/q1rn1k1p/4p3/4P1Q1/2N3P1/5P1P/6K1_w_-,,,16366595.0,ns,45
mate_in_1,,https://lichess.org/analysis/3R4/5p2/q1rn1k1p/4p3/4P1Q1/2N3P1/5P1P/6K1_w_-,,,17963463.0,ns,48
mate_in_1,,https://lichess.org/analysis/3R4/5p2/q1rn1k1p/4p3/4P1Q1/2N3P1/5P1P/6K1_w_-,,,18054467.0,ns,51
mate_in_1,,https://lichess.org/analysis/3R4/5p2/q1rn1k1p/4p3/4P1Q1/2N3P1/5P1P/6K1_w_-,,,20080153.0,ns,54
mate_in_1,,https://lichess.org/analysis/3R4/5p2/q1rn1k1p/4p3/4P1Q1/2N3P1/5P1P/6K1_w_-,,,20645277.0,ns,57
mate_in_1,,https://lichess.org/analysis/3R4/5p2/q1rn1k1p/4p3/4P1Q1/2N3P1/5P1P/6K1_w_-,,,22991576.0,ns,60
mate_in_1,,https://lichess.org/analysis/3R4/5p2/q1rn1k1p/4p3/4P1Q1/2N3P1/5P1P/6K1_w_-,,,23861314.0,ns,63
mate_in_1,,https://lichess.org/analysis/3R4/5p2/q1rn1k1p/4p3/4P1Q1/2N3P1/5P1P/6K1_w_-,,,23726408.0,ns,66
mate_in_1,,https://lichess.org/analysis/3R4/5p2/q1rn1k1p/4p3/4P1Q1/2N3P1/5P1P/6K1_w_-,,,26310117.0,ns,69
mate_in_1,,https://lichess.org/analysis/3R4/5p2/q1rn1k1p/4p3/4P1Q1/2N3P1/5P1P/6K1_w_-,,,25210371.0,ns,72
mate_in_1,,https://lichess.org/analysis/3R4/5p2/q1rn1k1p/4p3/4P1Q1/2N3P1/5P1P/6K1_w_-,,,28918628.0,ns,75
mate_in_1,,https://lichess.org/analysis/3R4/5p2/q1rn1k1p/4p3/4P1Q1/2N3P1/5P1P/6K1_w_-,,,31607443.0,ns,78
mate_in_1,,https://lichess.org/analysis/3R4/5p2/q1rn1k1p/4p3/4P1Q1/2N3P1/5P1P/6K1_w_-,,,30502895.0,ns,81
