group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/3k1r1r/pb3p2/1p3qp1/1B6/4n3/6QP/P4RP1/2R3K1_w_-,,,2026605.0,ns,2
mate_in_1,,https://lichess.org/analysis/3k1r1r/pb3p2/1p3qp1/1B6/4n3/6QP/P4RP1/2R3K1_w_-,,,1591183.0,ns,4
mate_in_1,,https://lichess.org/analysis/3k1r1r/pb3p2/1p3qp1/1B6/4n3/6QP/P4RP1/2R3K1_w_-,,,3160864.0,ns,6
mate_in_1,,https://lichess.org/analysis/3k1r1r/pb3p2/1p3qp1/1B6/4n3/6QP/P4RP1/2R3K1_w_-,,,3922604.0,ns,8
mate_in_1,,https://lichess.org/analysis/3k1r1r/pb3p2/1p3qp1/1B6/4n3/6QP/P4RP1/2R3K1_w_-,,,4980859.0,ns,10
mate_in_1,,https://lichess.org/analysis/3k1r1r/pb3p2/1p3qp1/1B6/4n3/6QP/P4RP1/2R3K1_w_-,,,6189322.0,ns,12
mate_in_1,,https://lichess.org/analysis/3k1r1r/pb3p2/1p3qp1/1B6/4n3/6QP/P4RP1/2R3K1_w_-,,,6491838.0,ns,14
mate_in_1,,https://lichess.org/analysis/3k1r1r/pb3p2/1p3qp1/1B6/4n3/6QP/P4RP1/2R3K1_w_-,,,7756003.0,ns,16
mate_in_1,,https://lichess.org/analysis/3k1r1r/pb3p2/1p3qp1/1B6/4n3/6QP/P4RP1/2R3K1_w_-,,,8225628.0,ns,18
mate_in_1,,https://lichess.org/analysis/3k1r1r/pb3p2/1p3qp1/1B6/4n3/6QP/P4RP1/2R3K1_w_-,,,10326737.0,ns,20
mate_in_1,,https://lichess.org/analysis/3k1r1r/pb3p2/1p3qp1/1B6/4n3/6QP/P4RP1/2R3K1_w_-,,,11363591.0,ns,22
mate_in_1,,https://lichess.org/analysis/3k1r1r/pb3p2/1p3qp1/1B6/4n3/6QP/P4RP1/2R3K1_w_-,,,11050674.0,ns,24
mate_in_1,,https://lichess.org/analysis/3k1r1r/pb3p2/1p3qp1/1B6/4n3/6QP/P4RP1/2R3K1_w_-,,,12052027.0,ns,26
mate_in_1,,https://lichess.org/analysis/3k1r1r/pb3p2/1p3qp1/1B6/4n3/6QP/P4RP1/2R3K1_w_-,,,14569658.0,ns,28
mate_in_1,,https://lichess.org/analysis/3k1r1r/pb3p2/1p3qp1/1B6/4n3/6QP/P4RP1/2R3K1_w_-,,,14039530.0,ns,30
mate_in_1,,https://lichess.org/analysis/3k1r1r/pb3p2/1p3qp1/1B6/4n3/6QP/P4RP1/2R3K1_w_-,,,15263094.0,ns,32
mate_in_1,,https://lichess.org/analysis/3k1r1r/pb3p2/1p3qp1/1B6/4n3/6QP/P4RP1/2R3K1_w_-,,,17323001.0,ns,34
