group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,1327960.0,ns,4
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,1908087.0,ns,8
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,2966734.0,ns,12
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,3968781.0,ns,16
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,5153134.0,ns,20
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,7260229.0,ns,24
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,8171971.0,ns,28
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,10540679.0,ns,32
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,10244165.0,ns,36
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,12437565.0,ns,40
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,13337606.0,ns,44
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,15283494.0,ns,48
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,15584007.0,ns,52
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,16929669.0,ns,56
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,18244128.0,ns,60
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,20826246.0,ns,64
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,20915650.0,ns,68
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,24285102.0,ns,72
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,23772580.0,ns,76
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,25989280.0,ns,80
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,25749269.0,ns,84
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,26152587.0,ns,88
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,28934514.0,ns,92
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,26498803.0,ns,96
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,26031982.0,ns,100
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,33843437.0,ns,104
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,38406244.0,ns,108
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,33233309.0,ns,112
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,30523886.0,ns,116
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,29751051.0,ns,120
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,31436127.0,ns,124
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,38223936.0,ns,128
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,36001234.0,ns,132
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,43548377.0,ns,136
mate_in_1,,https://lichess.org/analysis/3k4/1p3Bp1/p5r1/2b5/P3P3/5Pp1/1P5N/2R4K_b_-,,,43334167.0,ns,140
