group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,1114139.0,ns,5
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,2016472.0,ns,10
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,3035909.0,ns,15
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,4161148.0,ns,20
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,5349791.0,ns,25
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,6155219.0,ns,30
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,7308361.0,ns,35
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,8013086.0,ns,40
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,9674245.0,ns,45
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,10359669.0,ns,50
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,11148598.0,ns,55
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,12083231.0,ns,60
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,13880595.0,ns,65
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,14207007.0,ns,70
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,14996335.0,ns,75
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,16556790.0,ns,80
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,17352619.0,ns,85
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,18706068.0,ns,90
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,20171319.0,ns,95
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,20201921.0,ns,100
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,21967483.0,ns,105
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,23746347.0,ns,110
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,23218228.0,ns,115
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,26777756.0,ns,120
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,26521646.0,ns,125
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,29007634.0,ns,130
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,29230842.0,ns,135
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,28022900.0,ns,140
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,30786097.0,ns,145
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,32467158.0,ns,150
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,33436392.0,ns,155
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,41652486.0,ns,160
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,36636106.0,ns,165
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,33855707.0,ns,170
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,36037685.0,ns,175
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,37817749.0,ns,180
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,37326331.0,ns,185
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,39839221.0,ns,190
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,41084365.0,ns,195
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,43330045.0,ns,200
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,43264042.0,ns,205
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,43078637.0,ns,210
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,43919866.0,ns,215
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,44877900.0,ns,220
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,46504258.0,ns,225
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,47539895.0,ns,230
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,50782311.0,ns,235
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,52847285.0,ns,240
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,50894815.0,ns,245
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,54312336.0,ns,250
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,54150731.0,ns,255
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,55362073.0,ns,260
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,56185403.0,ns,265
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,56007397.0,ns,270
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,57491149.0,ns,275
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,59067806.0,ns,280
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,59830933.0,ns,285
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,59961037.0,ns,290
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,63673970.0,ns,295
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,62393424.0,ns,300
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,62054213.0,ns,305
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,66590373.0,ns,310
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,74220246.0,ns,315
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,69791588.0,ns,320
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,74918871.0,ns,325
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,74251947.0,ns,330
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,76788937.0,ns,335
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,77015444.0,ns,340
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,76992744.0,ns,345
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,78774908.0,ns,350
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,76515027.0,ns,355
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,84317304.0,ns,360
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,83190465.0,ns,365
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,101400914.0,ns,370
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,91043845.0,ns,375
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,86557184.0,ns,380
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,94246058.0,ns,385
mate_in_1,,https://lichess.org/analysis/3n4/1R6/p4k2/2B2P2/1P4K1/r7/8/8_w_-,,,93046716.0,ns,390
