group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,1099325.0,ns,5
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,1487034.0,ns,10
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,2149548.0,ns,15
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,3053369.0,ns,20
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,5949034.0,ns,25
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,6869955.0,ns,30
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,7409067.0,ns,35
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,7586971.0,ns,40
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,11242253.0,ns,45
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,12078272.0,ns,50
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,12710786.0,ns,55
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,16115563.0,ns,60
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,18440516.0,ns,65
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,16298567.0,ns,70
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,18610019.0,ns,75
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,14830334.0,ns,80
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,13633607.0,ns,85
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,15397847.0,ns,90
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,21284679.0,ns,95
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,22417505.0,ns,100
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,20040452.0,ns,105
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,24755457.0,ns,110
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,26208191.0,ns,115
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,27156011.0,ns,120
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,29952975.0,ns,125
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,29661968.0,ns,130
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,21872293.0,ns,135
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,25749480.0,ns,140
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,21254379.0,ns,145
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,23527929.0,ns,150
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,27554721.0,ns,155
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,37521045.0,ns,160
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,36136414.0,ns,165
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,38756673.0,ns,170
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,37404943.0,ns,175
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,32567733.0,ns,180
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,42531558.0,ns,185
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,50198231.0,ns,190
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,44178795.0,ns,195
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,50212031.0,ns,200
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,58312814.0,ns,205
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,57305290.0,ns,210
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,52873691.0,ns,215
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,49342511.0,ns,220
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,38287961.0,ns,225
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,52846889.0,ns,230
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,51763166.0,ns,235
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,65744280.0,ns,240
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,68357338.0,ns,245
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,69386062.0,ns,250
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,69095755.0,ns,255
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,68716547.0,ns,260
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,72976143.0,ns,265
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,55063940.0,ns,270
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,64099843.0,ns,275
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,63906538.0,ns,280
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,62303203.0,ns,285
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,63154622.0,ns,290
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,58490416.0,ns,295
mate_in_1,,https://lichess.org/analysis/3q2r1/4n3/p1p1rBpk/PpPpPp2/1P3P2/2P3R1/7P/1R5K_w_-,,,66849404.0,ns,300
