group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/3rkb1r/p2b1ppp/3p4/3Np1B1/4P2P/8/PP4P1/4KB1n_w_k,,,1224561.0,ns,4
mate_in_1,,https://lichess.org/analysis/3rkb1r/p2b1ppp/3p4/3Np1B1/4P2P/8/PP4P1/4KB1n_w_k,,,2360417.0,ns,8
mate_in_1,,https://lichess.org/analysis/3rkb1r/p2b1ppp/3p4/3Np1B1/4P2P/8/PP4P1/4KB1n_w_k,,,3620379.0,ns,12
mate_in_1,,https://lichess.org/analysis/3rkb1r/p2b1ppp/3p4/3Np1B1/4P2P/8/PP4P1/4KB1n_w_k,,,5379867.0,ns,16
mate_in_1,,https://lichess.org/analysis/3rkb1r/p2b1ppp/3p4/3Np1B1/4P2P/8/PP4P1/4KB1n_w_k,,,6681032.0,ns,20
mate_in_1,,https://lichess.org/analysis/3rkb1r/p2b1ppp/3p4/3Np1B1/4P2P/8/PP4P1/4KB1n_w_k,,,9031848.0,ns,24
mate_in_1,,https://lichess.org/analysis/3rkb1r/p2b1ppp/3p4/3Np1B1/4P2P/8/PP4P1/4KB1n_w_k,,,8153504.0,ns,28
mate_in_1,,https://lichess.org/analysis/3rkb1r/p2b1ppp/3p4/3Np1B1/4P2P/8/PP4P1/4KB1n_w_k,,,10319412.0,ns,32
mate_in_1,,https://lichess.org/analysis/3rkb1r/p2b1ppp/3p4/3Np1B1/4P2P/8/PP4P1/4KB1n_w_k,,,10904941.0,ns,36
mate_in_1,,https://lichess.org/analysis/3rkb1r/p2b1ppp/3p4/3Np1B1/4P2P/8/PP4P1/4KB1n_w_k,,,11001246.0,ns,40
mate_in_1,,https://lichess.org/analysis/3rkb1r/p2b1ppp/3p4/3Np1B1/4P2P/8/PP4P1/4KB1n_w_k,,,13264157.0,ns,44
mate_in_1,,https://lichess.org/analysis/3rkb1r/p2b1ppp/3p4/3Np1B1/4P2P/8/PP4P1/4KB1n_w_k,,,13233757.0,ns,48
