group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,1824665.0,ns,3
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,3926142.0,ns,6
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,3996643.0,ns,9
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,5695805.0,ns,12
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,7366766.0,ns,15
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,8483805.0,ns,18
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,9516242.0,ns,21
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,11814426.0,ns,24
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,13553587.0,ns,27
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,13940102.0,ns,30
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,15076243.0,ns,33
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,17993747.0,ns,36
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,18446563.0,ns,39
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,19602606.0,ns,42
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,21252365.0,ns,45
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,21721781.0,ns,48
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,24322176.0,ns,51
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,31882847.0,ns,54
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,34753151.0,ns,57
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,37318543.0,ns,60
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,42713837.0,ns,63
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,60350671.0,ns,66
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,28007308.0,ns,69
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,27529990.0,ns,72
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,26717061.0,ns,75
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,29151148.0,ns,78
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,31058018.0,ns,81
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,25961434.0,ns,84
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,31511534.0,ns,87
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,34609945.0,ns,90
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,34580544.0,ns,93
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,33681312.0,ns,96
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,36646018.0,ns,99
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,38179874.0,ns,102
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,47013091.0,ns,105
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,43482264.0,ns,108
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,41874207.0,ns,111
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,42746738.0,ns,114
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,42910844.0,ns,117
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,46557975.0,ns,120
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,46241463.0,ns,123
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,49520382.0,ns,126
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,49797991.0,ns,129
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,74838093.0,ns,132
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,59990758.0,ns,135
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,56116819.0,ns,138
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,65189544.0,ns,141
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,54071545.0,ns,144
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,55239387.0,ns,147
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,61439009.0,ns,150
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,66329386.0,ns,153
mate_in_1,,https://lichess.org/analysis/3rr3/2p2k2/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK_w_-,,,69672206.0,ns,156
