group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,1246243.0,ns,3
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,2794796.0,ns,6
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,4711463.0,ns,9
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,6733532.0,ns,12
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,7074345.0,ns,15
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,8503593.0,ns,18
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,10261654.0,ns,21
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,9652233.0,ns,24
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,10839074.0,ns,27
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,8956510.0,ns,30
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,10096748.0,ns,33
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,12590735.0,ns,36
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,13672271.0,ns,39
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,13327559.0,ns,42
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,16414767.0,ns,45
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,16778779.0,ns,48
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,19436971.0,ns,51
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,19854085.0,ns,54
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,24144233.0,ns,57
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,22108063.0,ns,60
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,24347241.0,ns,63
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,24171834.0,ns,66
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,25539281.0,ns,69
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,24787456.0,ns,72
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,23007594.0,ns,75
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,18981155.0,ns,78
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,26848027.0,ns,81
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,32331715.0,ns,84
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,32416418.0,ns,87
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,31892901.0,ns,90
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,30043537.0,ns,93
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,34888404.0,ns,96
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,30461351.0,ns,99
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,39990780.0,ns,102
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,41035817.0,ns,105
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,39886676.0,ns,108
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,38812840.0,ns,111
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,39083849.0,ns,114
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,38589131.0,ns,117
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,72424399.0,ns,120
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,53809657.0,ns,123
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,57715692.0,ns,126
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,61087508.0,ns,129
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,49320602.0,ns,132
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,59374349.0,ns,135
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,66185283.0,ns,138
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,65076946.0,ns,141
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,54360576.0,ns,144
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,55455913.0,ns,147
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,50145431.0,ns,150
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,51808888.0,ns,153
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,54975697.0,ns,156
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,56088735.0,ns,159
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,51042161.0,ns,162
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,59120940.0,ns,165
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,56130637.0,ns,168
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,58768628.0,ns,171
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,63850004.0,ns,174
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,62843968.0,ns,177
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,65077545.0,ns,180
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,63604995.0,ns,183
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,64890838.0,ns,186
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,65206749.0,ns,189
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,68988880.0,ns,192
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,67544131.0,ns,195
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,73448934.0,ns,198
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,92631396.0,ns,201
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,90940037.0,ns,204
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,96703837.0,ns,207
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,98190687.0,ns,210
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,95741604.0,ns,213
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,97019847.0,ns,216
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,119486921.0,ns,219
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,101050185.0,ns,222
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,108157231.0,ns,225
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,109497578.0,ns,228
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,83379576.0,ns,231
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,84070600.0,ns,234
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,84701822.0,ns,237
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,88392349.0,ns,240
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,90268214.0,ns,243
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,93743533.0,ns,246
mate_in_1,,https://lichess.org/analysis/4Q3/6kp/5p2/3n2pq/3N1nR1/1P3P2/P6P/5K2_w_-,,,89843099.0,ns,249
