group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/4Q3/r5pk/3p2pp/4pPb1/2P1P3/1q5P/6P1/3R3K_w_-,,,1962195.0,ns,3
mate_in_1,,https://lichess.org/analysis/4Q3/r5pk/3p2pp/4pPb1/2P1P3/1q5P/6P1/3R3K_w_-,,,3365062.0,ns,6
mate_in_1,,https://lichess.org/analysis/4Q3/r5pk/3p2pp/4pPb1/2P1P3/1q5P/6P1/3R3K_w_-,,,5039543.0,ns,9
mate_in_1,,https://lichess.org/analysis/4Q3/r5pk/3p2pp/4pPb1/2P1P3/1q5P/6P1/3R3K_w_-,,,7011338.0,ns,12
mate_in_1,,https://lichess.org/analysis/4Q3/r5pk/3p2pp/4pPb1/2P1P3/1q5P/6P1/3R3K_w_-,,,8477808.0,ns,15
mate_in_1,,https://lichess.org/analysis/4Q3/r5pk/3p2pp/4pPb1/2P1P3/1q5P/6P1/3R3K_w_-,,,10689315.0,ns,18
mate_in_1,,https://lichess.org/analysis/4Q3/r5pk/3p2pp/4pPb1/2P1P3/1q5P/6P1/3R3K_w_-,,,9957780.0,ns,21
mate_in_1,,https://lichess.org/analysis/4Q3/r5pk/3p2pp/4pPb1/2P1P3/1q5P/6P1/3R3K_w_-,,,11950076.0,ns,24
mate_in_1,,https://lichess.org/analysis/4Q3/r5pk/3p2pp/4pPb1/2P1P3/1q5P/6P1/3R3K_w_-,,,13006427.0,ns,27
mate_in_1,,https://lichess.org/analysis/4Q3/r5pk/3p2pp/4pPb1/2P1P3/1q5P/6P1/3R3K_w_-,,,15089227.0,ns,30
mate_in_1,,https://lichess.org/analysis/4Q3/r5pk/3p2pp/4pPb1/2P1P3/1q5P/6P1/3R3K_w_-,,,16730306.0,ns,33
mate_in_1,,https://lichess.org/analysis/4Q3/r5pk/3p2pp/4pPb1/2P1P3/1q5P/6P1/3R3K_w_-,,,16858213.0,ns,36
mate_in_1,,https://lichess.org/analysis/4Q3/r5pk/3p2pp/4pPb1/2P1P3/1q5P/6P1/3R3K_w_-,,,18526992.0,ns,39
