group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,2275279.0,ns,3
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,1447651.0,ns,6
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,2193977.0,ns,9
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,2917003.0,ns,12
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,3686629.0,ns,15
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,6250420.0,ns,18
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,7852676.0,ns,21
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,14247100.0,ns,24
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,10873182.0,ns,27
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,14218299.0,ns,30
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,14498309.0,ns,33
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,13873187.0,ns,36
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,11509504.0,ns,39
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,14062494.0,ns,42
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,16506080.0,ns,45
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,18180638.0,ns,48
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,22979207.0,ns,51
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,20462919.0,ns,54
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,18114636.0,ns,57
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,19005967.0,ns,60
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,21505555.0,ns,63
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,22712497.0,ns,66
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,26437828.0,ns,69
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,34924426.0,ns,72
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,24173448.0,ns,75
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,23398322.0,ns,78
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,25192284.0,ns,81
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,24936576.0,ns,84
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,26976347.0,ns,87
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,27398262.0,ns,90
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,30071755.0,ns,93
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,32659547.0,ns,96
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,34337006.0,ns,99
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,38575854.0,ns,102
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,43107813.0,ns,105
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,38969868.0,ns,108
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,45149486.0,ns,111
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,47427665.0,ns,114
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,40691628.0,ns,117
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,43865740.0,ns,120
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,44053547.0,ns,123
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,44515563.0,ns,126
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,39339581.0,ns,129
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,44913077.0,ns,132
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,41762066.0,ns,135
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,46958848.0,ns,138
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,49740546.0,ns,141
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,49693245.0,ns,144
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,53650083.0,ns,147
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,67356564.0,ns,150
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,66373130.0,ns,153
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,55501248.0,ns,156
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,54140100.0,ns,159
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,71726518.0,ns,162
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,75156738.0,ns,165
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,65386095.0,ns,168
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,52910057.0,ns,171
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,60293116.0,ns,174
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,65066684.0,ns,177
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,63056413.0,ns,180
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,59632693.0,ns,183
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,66158923.0,ns,186
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,68457102.0,ns,189
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,71577012.0,ns,192
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,68661109.0,ns,195
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,75674356.0,ns,198
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,75360445.0,ns,201
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,76843796.0,ns,204
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,66318427.0,ns,207
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,73213570.0,ns,210
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,83453028.0,ns,213
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,98181046.0,ns,216
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,89364736.0,ns,219
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,83278922.0,ns,222
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,75549551.0,ns,225
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,82508795.0,ns,228
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,88763014.0,ns,231
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,86347629.0,ns,234
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,95333045.0,ns,237
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,95404947.0,ns,240
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,90970391.0,ns,243
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,102829507.0,ns,246
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,101484361.0,ns,249
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,85851612.0,ns,252
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,97658726.0,ns,255
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,93122067.0,ns,258
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,98009538.0,ns,261
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,102091881.0,ns,264
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,107600574.0,ns,267
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,92912860.0,ns,270
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,104286958.0,ns,273
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,106675241.0,ns,276
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,109123128.0,ns,279
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,110599379.0,ns,282
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,108349701.0,ns,285
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,104818776.0,ns,288
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,109686447.0,ns,291
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,124845578.0,ns,294
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,117466020.0,ns,297
mate_in_1,,https://lichess.org/analysis/4k3/p4r2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1_w_-,,,117077705.0,ns,300
