group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,1326660.0,ns,6
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,2155298.0,ns,12
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,3128741.0,ns,18
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,3915577.0,ns,24
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,5378043.0,ns,30
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,6716803.0,ns,36
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,8849300.0,ns,42
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,8727394.0,ns,48
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,10451372.0,ns,54
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,10916293.0,ns,60
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,11978941.0,ns,66
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,13046290.0,ns,72
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,16518746.0,ns,78
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,15614905.0,ns,84
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,17282280.0,ns,90
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,17803904.0,ns,96
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,19276271.0,ns,102
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,21601175.0,ns,108
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,21612976.0,ns,114
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,21719081.0,ns,120
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,23076842.0,ns,126
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,25647958.0,ns,132
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,25982873.0,ns,138
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,27332234.0,ns,144
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,26270986.0,ns,150
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,29696541.0,ns,156
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,30152061.0,ns,162
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,30852993.0,ns,168
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,31396717.0,ns,174
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,31325815.0,ns,180
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,34344250.0,ns,186
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,33610818.0,ns,192
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,37459991.0,ns,198
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,38352032.0,ns,204
mate_in_1,,https://lichess.org/analysis/4n1k1/1r5p/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/7K_w_-,,,38307830.0,ns,210
