group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,1154436.0,ns,3
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,2760686.0,ns,6
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,4151729.0,ns,9
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,5629876.0,ns,12
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,7839544.0,ns,15
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,8646170.0,ns,18
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,9632800.0,ns,21
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,11378255.0,ns,24
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,13362316.0,ns,27
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,15005568.0,ns,30
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,15884195.0,ns,33
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,17247238.0,ns,36
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,20171728.0,ns,39
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,20227431.0,ns,42
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,23271025.0,ns,45
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,24320358.0,ns,48
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,25309589.0,ns,51
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,25257287.0,ns,54
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,24977579.0,ns,57
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,28499488.0,ns,60
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,31882994.0,ns,63
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,28415685.0,ns,66
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,38112588.0,ns,69
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,28064275.0,ns,72
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,28338983.0,ns,75
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,33142233.0,ns,78
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,31429880.0,ns,81
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,30334445.0,ns,84
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,33014128.0,ns,87
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,38584902.0,ns,90
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,48692918.0,ns,93
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,73010875.0,ns,96
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,45520919.0,ns,99
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,48602415.0,ns,102
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,50143863.0,ns,105
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,48387508.0,ns,108
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,48772620.0,ns,111
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,50928586.0,ns,114
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,52024321.0,ns,117
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,58625525.0,ns,120
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,71288321.0,ns,123
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,70433493.0,ns,126
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,72420856.0,ns,129
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,75241043.0,ns,132
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,70002881.0,ns,135
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,61671320.0,ns,138
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,64813819.0,ns,141
mate_in_1,,https://lichess.org/analysis/4r1R1/2pQnk1p/p4p2/1p2pN1P/4q3/2P5/5PPK/8_w_-,,,71884339.0,ns,144
