group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/4r3/2q1rp1Q/p3bk1p/2p3p1/5P2/2N4P/PP4P1/5RK1_w_-,,,1495781.0,ns,3
mate_in_1,,https://lichess.org/analysis/4r3/2q1rp1Q/p3bk1p/2p3p1/5P2/2N4P/PP4P1/5RK1_w_-,,,2219920.0,ns,6
mate_in_1,,https://lichess.org/analysis/4r3/2q1rp1Q/p3bk1p/2p3p1/5P2/2N4P/PP4P1/5RK1_w_-,,,3340281.0,ns,9
mate_in_1,,https://lichess.org/analysis/4r3/2q1rp1Q/p3bk1p/2p3p1/5P2/2N4P/PP4P1/5RK1_w_-,,,4577847.0,ns,12
mate_in_1,,https://lichess.org/analysis/4r3/2q1rp1Q/p3bk1p/2p3p1/5P2/2N4P/PP4P1/5RK1_w_-,,,7475105.0,ns,15
mate_in_1,,https://lichess.org/analysis/4r3/2q1rp1Q/p3bk1p/2p3p1/5P2/2N4P/PP4P1/5RK1_w_-,,,7266193.0,ns,18
mate_in_1,,https://lichess.org/analysis/4r3/2q1rp1Q/p3bk1p/2p3p1/5P2/2N4P/PP4P1/5RK1_w_-,,,8974185.0,ns,21
mate_in_1,,https://lichess.org/analysis/4r3/2q1rp1Q/p3bk1p/2p3p1/5P2/2N4P/PP4P1/5RK1_w_-,,,8963085.0,ns,24
mate_in_1,,https://lichess.org/analysis/4r3/2q1rp1Q/p3bk1p/2p3p1/5P2/2N4P/PP4P1/5RK1_w_-,,,11270210.0,ns,27
mate_in_1,,https://lichess.org/analysis/4r3/2q1rp1Q/p3bk1p/2p3p1/5P2/2N4P/PP4P1/5RK1_w_-,,,12377069.0,ns,30
mate_in_1,,https://lichess.org/analysis/4r3/2q1rp1Q/p3bk1p/2p3p1/5P2/2N4P/PP4P1/5RK1_w_-,,,13275718.0,ns,33
mate_in_1,,https://lichess.org/analysis/4r3/2q1rp1Q/p3bk1p/2p3p1/5P2/2N4P/PP4P1/5RK1_w_-,,,13618937.0,ns,36
mate_in_1,,https://lichess.org/analysis/4r3/2q1rp1Q/p3bk1p/2p3p1/5P2/2N4P/PP4P1/5RK1_w_-,,,15418934.0,ns,39
mate_in_1,,https://lichess.org/analysis/4r3/2q1rp1Q/p3bk1p/2p3p1/5P2/2N4P/PP4P1/5RK1_w_-,,,16997219.0,ns,42
mate_in_1,,https://lichess.org/analysis/4r3/2q1rp1Q/p3bk1p/2p3p1/5P2/2N4P/PP4P1/5RK1_w_-,,,17728658.0,ns,45
mate_in_1,,https://lichess.org/analysis/4r3/2q1rp1Q/p3bk1p/2p3p1/5P2/2N4P/PP4P1/5RK1_w_-,,,22809633.0,ns,48
