group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,1716888.0,ns,4
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,2456026.0,ns,8
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,5311773.0,ns,12
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,6117114.0,ns,16
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,6515934.0,ns,20
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,7401480.0,ns,24
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,8995861.0,ns,28
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,10025014.0,ns,32
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,12317332.0,ns,36
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,12313332.0,ns,40
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,13322383.0,ns,44
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,14418340.0,ns,48
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,15316286.0,ns,52
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,19696110.0,ns,56
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,24954180.0,ns,60
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,20463350.0,ns,64
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,20141333.0,ns,68
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,22899275.0,ns,72
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,23284595.0,ns,76
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,25945031.0,ns,80
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,26186943.0,ns,84
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,22457352.0,ns,88
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,29267101.0,ns,92
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,28270951.0,ns,96
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,27498610.0,ns,100
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,29282403.0,ns,104
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,33071796.0,ns,108
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,33048195.0,ns,112
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,32522569.0,ns,116
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,33712529.0,ns,120
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,31358809.0,ns,124
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,38727287.0,ns,128
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,40082155.0,ns,132
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,40413372.0,ns,136
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,45726244.0,ns,140
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,41582332.0,ns,144
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,45271921.0,ns,148
mate_in_1,,https://lichess.org/analysis/4r3/5p2/2p1nBpk/q2p4/P1bP4/2P1R3/2B2PPP/6K1_w_-,,,46432581.0,ns,152
