group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/4r3/p2r1p2/3q1Bpk/4P3/1PppR3/P5P1/5P1P/6K1_w_-,,,1498168.0,ns,4
mate_in_1,,https://lichess.org/analysis/4r3/p2r1p2/3q1Bpk/4P3/1PppR3/P5P1/5P1P/6K1_w_-,,,2043594.0,ns,8
mate_in_1,,https://lichess.org/analysis/4r3/p2r1p2/3q1Bpk/4P3/1PppR3/P5P1/5P1P/6K1_w_-,,,3554563.0,ns,12
mate_in_1,,https://lichess.org/analysis/4r3/p2r1p2/3q1Bpk/4P3/1PppR3/P5P1/5P1P/6K1_w_-,,,4272997.0,ns,16
mate_in_1,,https://lichess.org/analysis/4r3/p2r1p2/3q1Bpk/4P3/1PppR3/P5P1/5P1P/6K1_w_-,,,4651613.0,ns,20
mate_in_1,,https://lichess.org/analysis/4r3/p2r1p2/3q1Bpk/4P3/1PppR3/P5P1/5P1P/6K1_w_-,,,5840569.0,ns,24
mate_in_1,,https://lichess.org/analysis/4r3/p2r1p2/3q1Bpk/4P3/1PppR3/P5P1/5P1P/6K1_w_-,,,7043623.0,ns,28
mate_in_1,,https://lichess.org/analysis/4r3/p2r1p2/3q1Bpk/4P3/1PppR3/P5P1/5P1P/6K1_w_-,,,7785958.0,ns,32
mate_in_1,,https://lichess.org/analysis/4r3/p2r1p2/3q1Bpk/4P3/1PppR3/P5P1/5P1P/6K1_w_-,,,9281426.0,ns,36
mate_in_1,,https://lichess.org/analysis/4r3/p2r1p2/3q1Bpk/4P3/1PppR3/P5P1/5P1P/6K1_w_-,,,10553084.0,ns,40
mate_in_1,,https://lichess.org/analysis/4r3/p2r1p2/3q1Bpk/4P3/1PppR3/P5P1/5P1P/6K1_w_-,,,10375777.0,ns,44
mate_in_1,,https://lichess.org/analysis/4r3/p2r1p2/3q1Bpk/4P3/1PppR3/P5P1/5P1P/6K1_w_-,,,14792279.0,ns,48
mate_in_1,,https://lichess.org/analysis/4r3/p2r1p2/3q1Bpk/4P3/1PppR3/P5P1/5P1P/6K1_w_-,,,12171559.0,ns,52
mate_in_1,,https://lichess.org/analysis/4r3/p2r1p2/3q1Bpk/4P3/1PppR3/P5P1/5P1P/6K1_w_-,,,12339767.0,ns,56
mate_in_1,,https://lichess.org/analysis/4r3/p2r1p2/3q1Bpk/4P3/1PppR3/P5P1/5P1P/6K1_w_-,,,19647302.0,ns,60
mate_in_1,,https://lichess.org/analysis/4r3/p2r1p2/3q1Bpk/4P3/1PppR3/P5P1/5P1P/6K1_w_-,,,28700218.0,ns,64
mate_in_1,,https://lichess.org/analysis/4r3/p2r1p2/3q1Bpk/4P3/1PppR3/P5P1/5P1P/6K1_w_-,,,24411421.0,ns,68
mate_in_1,,https://lichess.org/analysis/4r3/p2r1p2/3q1Bpk/4P3/1PppR3/P5P1/5P1P/6K1_w_-,,,35099412.0,ns,72
mate_in_1,,https://lichess.org/analysis/4r3/p2r1p2/3q1Bpk/4P3/1PppR3/P5P1/5P1P/6K1_w_-,,,23028757.0,ns,76
