group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/4rk2/1b2qp1Q/3B1bp1/1p1n2N1/4P3/2Pp3P/1P1N4/5RK1_w_-,,,1058341.0,ns,3
mate_in_1,,https://lichess.org/analysis/4rk2/1b2qp1Q/3B1bp1/1p1n2N1/4P3/2Pp3P/1P1N4/5RK1_w_-,,,2055781.0,ns,6
mate_in_1,,https://lichess.org/analysis/4rk2/1b2qp1Q/3B1bp1/1p1n2N1/4P3/2Pp3P/1P1N4/5RK1_w_-,,,3068720.0,ns,9
mate_in_1,,https://lichess.org/analysis/4rk2/1b2qp1Q/3B1bp1/1p1n2N1/4P3/2Pp3P/1P1N4/5RK1_w_-,,,4300668.0,ns,12
mate_in_1,,https://lichess.org/analysis/4rk2/1b2qp1Q/3B1bp1/1p1n2N1/4P3/2Pp3P/1P1N4/5RK1_w_-,,,6413651.0,ns,15
mate_in_1,,https://lichess.org/analysis/4rk2/1b2qp1Q/3B1bp1/1p1n2N1/4P3/2Pp3P/1P1N4/5RK1_w_-,,,6075538.0,ns,18
mate_in_1,,https://lichess.org/analysis/4rk2/1b2qp1Q/3B1bp1/1p1n2N1/4P3/2Pp3P/1P1N4/5RK1_w_-,,,7308686.0,ns,21
mate_in_1,,https://lichess.org/analysis/4rk2/1b2qp1Q/3B1bp1/1p1n2N1/4P3/2Pp3P/1P1N4/5RK1_w_-,,,8096117.0,ns,24
mate_in_1,,https://lichess.org/analysis/4rk2/1b2qp1Q/3B1bp1/1p1n2N1/4P3/2Pp3P/1P1N4/5RK1_w_-,,,9723081.0,ns,27
mate_in_1,,https://lichess.org/analysis/4rk2/1b2qp1Q/3B1bp1/1p1n2N1/4P3/2Pp3P/1P1N4/5RK1_w_-,,,10673218.0,ns,30
mate_in_1,,https://lichess.org/analysis/4rk2/1b2qp1Q/3B1bp1/1p1n2N1/4P3/2Pp3P/1P1N4/5RK1_w_-,,,13903244.0,ns,33
mate_in_1,,https://lichess.org/analysis/4rk2/1b2qp1Q/3B1bp1/1p1n2N1/4P3/2Pp3P/1P1N4/5RK1_w_-,,,12975408.0,ns,36
mate_in_1,,https://lichess.org/analysis/4rk2/1b2qp1Q/3B1bp1/1p1n2N1/4P3/2Pp3P/1P1N4/5RK1_w_-,,,14384363.0,ns,39
mate_in_1,,https://lichess.org/analysis/4rk2/1b2qp1Q/3B1bp1/1p1n2N1/4P3/2Pp3P/1P1N4/5RK1_w_-,,,16349140.0,ns,42
mate_in_1,,https://lichess.org/analysis/4rk2/1b2qp1Q/3B1bp1/1p1n2N1/4P3/2Pp3P/1P1N4/5RK1_w_-,,,15607411.0,ns,45
mate_in_1,,https://lichess.org/analysis/4rk2/1b2qp1Q/3B1bp1/1p1n2N1/4P3/2Pp3P/1P1N4/5RK1_w_-,,,16713654.0,ns,48
mate_in_1,,https://lichess.org/analysis/4rk2/1b2qp1Q/3B1bp1/1p1n2N1/4P3/2Pp3P/1P1N4/5RK1_w_-,,,19016444.0,ns,51
mate_in_1,,https://lichess.org/analysis/4rk2/1b2qp1Q/3B1bp1/1p1n2N1/4P3/2Pp3P/1P1N4/5RK1_w_-,,,18827038.0,ns,54
mate_in_1,,https://lichess.org/analysis/4rk2/1b2qp1Q/3B1bp1/1p1n2N1/4P3/2Pp3P/1P1N4/5RK1_w_-,,,19766373.0,ns,57
mate_in_1,,https://lichess.org/analysis/4rk2/1b2qp1Q/3B1bp1/1p1n2N1/4P3/2Pp3P/1P1N4/5RK1_w_-,,,21638948.0,ns,60
mate_in_1,,https://lichess.org/analysis/4rk2/1b2qp1Q/3B1bp1/1p1n2N1/4P3/2Pp3P/1P1N4/5RK1_w_-,,,20954020.0,ns,63
mate_in_1,,https://lichess.org/analysis/4rk2/1b2qp1Q/3B1bp1/1p1n2N1/4P3/2Pp3P/1P1N4/5RK1_w_-,,,23980339.0,ns,66
mate_in_1,,https://lichess.org/analysis/4rk2/1b2qp1Q/3B1bp1/1p1n2N1/4P3/2Pp3P/1P1N4/5RK1_w_-,,,23925737.0,ns,69
mate_in_1,,https://lichess.org/analysis/4rk2/1b2qp1Q/3B1bp1/1p1n2N1/4P3/2Pp3P/1P1N4/5RK1_w_-,,,30267485.0,ns,72
mate_in_1,,https://lichess.org/analysis/4rk2/1b2qp1Q/3B1bp1/1p1n2N1/4P3/2Pp3P/1P1N4/5RK1_w_-,,,24099043.0,ns,75
mate_in_1,,https://lichess.org/analysis/4rk2/1b2qp1Q/3B1bp1/1p1n2N1/4P3/2Pp3P/1P1N4/5RK1_w_-,,,29445953.0,ns,78
