group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/4rk2/pp2N2Q/5b2/8/2q5/P7/3r2PP/4R2K_w_-,,,1244244.0,ns,2
mate_in_1,,https://lichess.org/analysis/4rk2/pp2N2Q/5b2/8/2q5/P7/3r2PP/4R2K_w_-,,,2432685.0,ns,4
mate_in_1,,https://lichess.org/analysis/4rk2/pp2N2Q/5b2/8/2q5/P7/3r2PP/4R2K_w_-,,,3285915.0,ns,6
mate_in_1,,https://lichess.org/analysis/4rk2/pp2N2Q/5b2/8/2q5/P7/3r2PP/4R2K_w_-,,,4902172.0,ns,8
mate_in_1,,https://lichess.org/analysis/4rk2/pp2N2Q/5b2/8/2q5/P7/3r2PP/4R2K_w_-,,,6010310.0,ns,10
mate_in_1,,https://lichess.org/analysis/4rk2/pp2N2Q/5b2/8/2q5/P7/3r2PP/4R2K_w_-,,,7256954.0,ns,12
mate_in_1,,https://lichess.org/analysis/4rk2/pp2N2Q/5b2/8/2q5/P7/3r2PP/4R2K_w_-,,,8443195.0,ns,14
mate_in_1,,https://lichess.org/analysis/4rk2/pp2N2Q/5b2/8/2q5/P7/3r2PP/4R2K_w_-,,,10628672.0,ns,16
mate_in_1,,https://lichess.org/analysis/4rk2/pp2N2Q/5b2/8/2q5/P7/3r2PP/4R2K_w_-,,,10808378.0,ns,18
mate_in_1,,https://lichess.org/analysis/4rk2/pp2N2Q/5b2/8/2q5/P7/3r2PP/4R2K_w_-,,,12088923.0,ns,20
mate_in_1,,https://lichess.org/analysis/4rk2/pp2N2Q/5b2/8/2q5/P7/3r2PP/4R2K_w_-,,,12815248.0,ns,22
mate_in_1,,https://lichess.org/analysis/4rk2/pp2N2Q/5b2/8/2q5/P7/3r2PP/4R2K_w_-,,,15866656.0,ns,24
mate_in_1,,https://lichess.org/analysis/4rk2/pp2N2Q/5b2/8/2q5/P7/3r2PP/4R2K_w_-,,,15562844.0,ns,26
mate_in_1,,https://lichess.org/analysis/4rk2/pp2N2Q/5b2/8/2q5/P7/3r2PP/4R2K_w_-,,,18221538.0,ns,28
