group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/4rr2/1p4R1/3p1p2/p2Bp3/P3PkP1/1P5R/1b2K3/8_w_-,,,981241.0,ns,4
mate_in_1,,https://lichess.org/analysis/4rr2/1p4R1/3p1p2/p2Bp3/P3PkP1/1P5R/1b2K3/8_w_-,,,2146190.0,ns,8
mate_in_1,,https://lichess.org/analysis/4rr2/1p4R1/3p1p2/p2Bp3/P3PkP1/1P5R/1b2K3/8_w_-,,,3464946.0,ns,12
mate_in_1,,https://lichess.org/analysis/4rr2/1p4R1/3p1p2/p2Bp3/P3PkP1/1P5R/1b2K3/8_w_-,,,5279622.0,ns,16
mate_in_1,,https://lichess.org/analysis/4rr2/1p4R1/3p1p2/p2Bp3/P3PkP1/1P5R/1b2K3/8_w_-,,,5201819.0,ns,20
mate_in_1,,https://lichess.org/analysis/4rr2/1p4R1/3p1p2/p2Bp3/P3PkP1/1P5R/1b2K3/8_w_-,,,6447171.0,ns,24
mate_in_1,,https://lichess.org/analysis/4rr2/1p4R1/3p1p2/p2Bp3/P3PkP1/1P5R/1b2K3/8_w_-,,,7790927.0,ns,28
mate_in_1,,https://lichess.org/analysis/4rr2/1p4R1/3p1p2/p2Bp3/P3PkP1/1P5R/1b2K3/8_w_-,,,8672865.0,ns,32
mate_in_1,,https://lichess.org/analysis/4rr2/1p4R1/3p1p2/p2Bp3/P3PkP1/1P5R/1b2K3/8_w_-,,,12422222.0,ns,36
mate_in_1,,https://lichess.org/analysis/4rr2/1p4R1/3p1p2/p2Bp3/P3PkP1/1P5R/1b2K3/8_w_-,,,13600072.0,ns,40
mate_in_1,,https://lichess.org/analysis/4rr2/1p4R1/3p1p2/p2Bp3/P3PkP1/1P5R/1b2K3/8_w_-,,,13301059.0,ns,44
mate_in_1,,https://lichess.org/analysis/4rr2/1p4R1/3p1p2/p2Bp3/P3PkP1/1P5R/1b2K3/8_w_-,,,14046291.0,ns,48
mate_in_1,,https://lichess.org/analysis/4rr2/1p4R1/3p1p2/p2Bp3/P3PkP1/1P5R/1b2K3/8_w_-,,,14137794.0,ns,52
mate_in_1,,https://lichess.org/analysis/4rr2/1p4R1/3p1p2/p2Bp3/P3PkP1/1P5R/1b2K3/8_w_-,,,16162480.0,ns,56
mate_in_1,,https://lichess.org/analysis/4rr2/1p4R1/3p1p2/p2Bp3/P3PkP1/1P5R/1b2K3/8_w_-,,,17007115.0,ns,60
mate_in_1,,https://lichess.org/analysis/4rr2/1p4R1/3p1p2/p2Bp3/P3PkP1/1P5R/1b2K3/8_w_-,,,17067518.0,ns,64
mate_in_1,,https://lichess.org/analysis/4rr2/1p4R1/3p1p2/p2Bp3/P3PkP1/1P5R/1b2K3/8_w_-,,,18742288.0,ns,68
mate_in_1,,https://lichess.org/analysis/4rr2/1p4R1/3p1p2/p2Bp3/P3PkP1/1P5R/1b2K3/8_w_-,,,19651826.0,ns,72
mate_in_1,,https://lichess.org/analysis/4rr2/1p4R1/3p1p2/p2Bp3/P3PkP1/1P5R/1b2K3/8_w_-,,,22022326.0,ns,76
mate_in_1,,https://lichess.org/analysis/4rr2/1p4R1/3p1p2/p2Bp3/P3PkP1/1P5R/1b2K3/8_w_-,,,22699954.0,ns,80
mate_in_1,,https://lichess.org/analysis/4rr2/1p4R1/3p1p2/p2Bp3/P3PkP1/1P5R/1b2K3/8_w_-,,,23265478.0,ns,84
mate_in_1,,https://lichess.org/analysis/4rr2/1p4R1/3p1p2/p2Bp3/P3PkP1/1P5R/1b2K3/8_w_-,,,23832602.0,ns,88
mate_in_1,,https://lichess.org/analysis/4rr2/1p4R1/3p1p2/p2Bp3/P3PkP1/1P5R/1b2K3/8_w_-,,,26886630.0,ns,92
mate_in_1,,https://lichess.org/analysis/4rr2/1p4R1/3p1p2/p2Bp3/P3PkP1/1P5R/1b2K3/8_w_-,,,27076937.0,ns,96
mate_in_1,,https://lichess.org/analysis/4rr2/1p4R1/3p1p2/p2Bp3/P3PkP1/1P5R/1b2K3/8_w_-,,,29271930.0,ns,100
