group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/5R2/1pp2ppk/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,1152840.0,ns,3
mate_in_1,,https://lichess.org/analysis/5R2/1pp2ppk/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,2686692.0,ns,6
mate_in_1,,https://lichess.org/analysis/5R2/1pp2ppk/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,3174109.0,ns,9
mate_in_1,,https://lichess.org/analysis/5R2/1pp2ppk/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,2919200.0,ns,12
mate_in_1,,https://lichess.org/analysis/5R2/1pp2ppk/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,4520055.0,ns,15
mate_in_1,,https://lichess.org/analysis/5R2/1pp2ppk/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,8853303.0,ns,18
mate_in_1,,https://lichess.org/analysis/5R2/1pp2ppk/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,17711107.0,ns,21
mate_in_1,,https://lichess.org/analysis/5R2/1pp2ppk/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,9933641.0,ns,24
mate_in_1,,https://lichess.org/analysis/5R2/1pp2ppk/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,10280752.0,ns,27
mate_in_1,,https://lichess.org/analysis/5R2/1pp2ppk/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,12188318.0,ns,30
mate_in_1,,https://lichess.org/analysis/5R2/1pp2ppk/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,12501328.0,ns,33
mate_in_1,,https://lichess.org/analysis/5R2/1pp2ppk/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,17406597.0,ns,36
mate_in_1,,https://lichess.org/analysis/5R2/1pp2ppk/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,17450498.0,ns,39
mate_in_1,,https://lichess.org/analysis/5R2/1pp2ppk/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,19585771.0,ns,42
mate_in_1,,https://lichess.org/analysis/5R2/1pp2ppk/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,21526738.0,ns,45
mate_in_1,,https://lichess.org/analysis/5R2/1pp2ppk/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,21803947.0,ns,48
mate_in_1,,https://lichess.org/analysis/5R2/1pp2ppk/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,24188529.0,ns,51
mate_in_1,,https://lichess.org/analysis/5R2/1pp2ppk/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,22886084.0,ns,54
mate_in_1,,https://lichess.org/analysis/5R2/1pp2ppk/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,22868384.0,ns,57
mate_in_1,,https://lichess.org/analysis/5R2/1pp2ppk/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,20586305.0,ns,60
