group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,1037740.0,ns,6
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,2105180.0,ns,12
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,3299425.0,ns,18
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,4575674.0,ns,24
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,5825521.0,ns,30
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,6696154.0,ns,36
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,8335117.0,ns,42
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,9857774.0,ns,48
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,10601803.0,ns,54
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,11368232.0,ns,60
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,14700658.0,ns,66
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,14355545.0,ns,72
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,19411638.0,ns,78
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,16721735.0,ns,84
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,18797114.0,ns,90
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,16891341.0,ns,96
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,19115526.0,ns,102
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,19805652.0,ns,108
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,21772327.0,ns,114
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,23762903.0,ns,120
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,22659160.0,ns,126
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,22378650.0,ns,132
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,24122617.0,ns,138
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,26547508.0,ns,144
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,29863034.0,ns,150
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,30010040.0,ns,156
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,31567699.0,ns,162
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,31147483.0,ns,168
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,32503534.0,ns,174
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,34695418.0,ns,180
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,26664913.0,ns,186
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,27512745.0,ns,192
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,38708270.0,ns,198
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,37602528.0,ns,204
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,37367119.0,ns,210
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,41694783.0,ns,216
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,41681283.0,ns,222
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,42797525.0,ns,228
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,44284182.0,ns,234
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,42358309.0,ns,240
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,48178030.0,ns,246
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,52264684.0,ns,252
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,58130308.0,ns,258
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,63768322.0,ns,264
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,57626688.0,ns,270
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,61831948.0,ns,276
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,54912186.0,ns,282
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,54828982.0,ns,288
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,75129153.0,ns,294
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,71312909.0,ns,300
mate_in_1,,https://lichess.org/analysis/5b1k/5Pp1/6Q1/pp4Pp/2p4P/P2r4/1PK5/8_w_-,,,64578752.0,ns,306
