group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2p2pP1/1P3p2/3Q1P1P/P7/1K1R4_w_-,,,1070837.0,ns,3
mate_in_1,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2p2pP1/1P3p2/3Q1P1P/P7/1K1R4_w_-,,,2072370.0,ns,6
mate_in_1,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2p2pP1/1P3p2/3Q1P1P/P7/1K1R4_w_-,,,4136340.0,ns,9
mate_in_1,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2p2pP1/1P3p2/3Q1P1P/P7/1K1R4_w_-,,,4574855.0,ns,12
mate_in_1,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2p2pP1/1P3p2/3Q1P1P/P7/1K1R4_w_-,,,5731495.0,ns,15
mate_in_1,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2p2pP1/1P3p2/3Q1P1P/P7/1K1R4_w_-,,,6974936.0,ns,18
mate_in_1,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2p2pP1/1P3p2/3Q1P1P/P7/1K1R4_w_-,,,8032173.0,ns,21
mate_in_1,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2p2pP1/1P3p2/3Q1P1P/P7/1K1R4_w_-,,,10601559.0,ns,24
mate_in_1,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2p2pP1/1P3p2/3Q1P1P/P7/1K1R4_w_-,,,10407253.0,ns,27
mate_in_1,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2p2pP1/1P3p2/3Q1P1P/P7/1K1R4_w_-,,,11493290.0,ns,30
mate_in_1,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2p2pP1/1P3p2/3Q1P1P/P7/1K1R4_w_-,,,13257050.0,ns,33
mate_in_1,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2p2pP1/1P3p2/3Q1P1P/P7/1K1R4_w_-,,,14830803.0,ns,36
mate_in_1,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2p2pP1/1P3p2/3Q1P1P/P7/1K1R4_w_-,,,14979608.0,ns,39
mate_in_1,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2p2pP1/1P3p2/3Q1P1P/P7/1K1R4_w_-,,,16339154.0,ns,42
mate_in_1,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2p2pP1/1P3p2/3Q1P1P/P7/1K1R4_w_-,,,23695904.0,ns,45
mate_in_1,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2p2pP1/1P3p2/3Q1P1P/P7/1K1R4_w_-,,,19277554.0,ns,48
mate_in_1,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2p2pP1/1P3p2/3Q1P1P/P7/1K1R4_w_-,,,20626199.0,ns,51
mate_in_1,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2p2pP1/1P3p2/3Q1P1P/P7/1K1R4_w_-,,,24390128.0,ns,54
mate_in_1,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2p2pP1/1P3p2/3Q1P1P/P7/1K1R4_w_-,,,22943378.0,ns,57
