group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,1330802.0,ns,27
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,2024002.0,ns,54
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,3024504.0,ns,81
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,4290205.0,ns,108
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,5339206.0,ns,135
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,6261108.0,ns,162
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,7124708.0,ns,189
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,12321115.0,ns,216
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,10296012.0,ns,243
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,10698313.0,ns,270
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,11710214.0,ns,297
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,12562915.0,ns,324
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,14096817.0,ns,351
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,14286717.0,ns,378
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,15167518.0,ns,405
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,16440120.0,ns,432
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,17461720.0,ns,459
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,17548421.0,ns,486
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,17826022.0,ns,513
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,18881622.0,ns,540
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,21677826.0,ns,567
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,22294427.0,ns,594
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,23062427.0,ns,621
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,22888827.0,ns,648
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,24654730.0,ns,675
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,25801831.0,ns,702
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,26652531.0,ns,729
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,27078433.0,ns,756
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,27836933.0,ns,783
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,28871434.0,ns,810
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,31157537.0,ns,837
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,31980339.0,ns,864
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,31282337.0,ns,891
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,36882044.0,ns,918
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,33424540.0,ns,945
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,33982440.0,ns,972
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,35682143.0,ns,999
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,41838550.0,ns,1026
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,43100951.0,ns,1053
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,40369848.0,ns,1080
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,40313248.0,ns,1107
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,41390350.0,ns,1134
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,43527252.0,ns,1161
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,44613153.0,ns,1188
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,46311055.0,ns,1215
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,46865256.0,ns,1242
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,45143254.0,ns,1269
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,47543957.0,ns,1296
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,47818657.0,ns,1323
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,49652459.0,ns,1350
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,51303261.0,ns,1377
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,51618262.0,ns,1404
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,52163862.0,ns,1431
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,51523661.0,ns,1458
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,54991666.0,ns,1485
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,53662364.0,ns,1512
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,54230665.0,ns,1539
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,55823666.0,ns,1566
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,58170370.0,ns,1593
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,59375670.0,ns,1620
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,57974070.0,ns,1647
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,60383672.0,ns,1674
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,60801772.0,ns,1701
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,63653076.0,ns,1728
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,63116875.0,ns,1755
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,65627179.0,ns,1782
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,67293180.0,ns,1809
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,68229581.0,ns,1836
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,69005483.0,ns,1863
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,69197282.0,ns,1890
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,66677280.0,ns,1917
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,68913082.0,ns,1944
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,69475083.0,ns,1971
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,71545085.0,ns,1998
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,75276490.0,ns,2025
mate_in_1,,https://lichess.org/analysis/5bk1/1p1q3p/p2pN1p1/2pP2Bn/2P3P1/1P6/P5KP/5R2_w_-,,,74560889.0,ns,2052
