group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/5bk1/R4p1p/6p1/7q/3p1K2/1Q4P1/1P3P2/2r5_b_-,,,1020039.0,ns,3
mate_in_1,,https://lichess.org/analysis/5bk1/R4p1p/6p1/7q/3p1K2/1Q4P1/1P3P2/2r5_b_-,,,2388691.0,ns,6
mate_in_1,,https://lichess.org/analysis/5bk1/R4p1p/6p1/7q/3p1K2/1Q4P1/1P3P2/2r5_b_-,,,3655140.0,ns,9
mate_in_1,,https://lichess.org/analysis/5bk1/R4p1p/6p1/7q/3p1K2/1Q4P1/1P3P2/2r5_b_-,,,4617376.0,ns,12
mate_in_1,,https://lichess.org/analysis/5bk1/R4p1p/6p1/7q/3p1K2/1Q4P1/1P3P2/2r5_b_-,,,5596713.0,ns,15
mate_in_1,,https://lichess.org/analysis/5bk1/R4p1p/6p1/7q/3p1K2/1Q4P1/1P3P2/2r5_b_-,,,7099570.0,ns,18
mate_in_1,,https://lichess.org/analysis/5bk1/R4p1p/6p1/7q/3p1K2/1Q4P1/1P3P2/2r5_b_-,,,8516725.0,ns,21
mate_in_1,,https://lichess.org/analysis/5bk1/R4p1p/6p1/7q/3p1K2/1Q4P1/1P3P2/2r5_b_-,,,10111385.0,ns,24
mate_in_1,,https://lichess.org/analysis/5bk1/R4p1p/6p1/7q/3p1K2/1Q4P1/1P3P2/2r5_b_-,,,10337994.0,ns,27
mate_in_1,,https://lichess.org/analysis/5bk1/R4p1p/6p1/7q/3p1K2/1Q4P1/1P3P2/2r5_b_-,,,11143725.0,ns,30
mate_in_1,,https://lichess.org/analysis/5bk1/R4p1p/6p1/7q/3p1K2/1Q4P1/1P3P2/2r5_b_-,,,9566365.0,ns,33
mate_in_1,,https://lichess.org/analysis/5bk1/R4p1p/6p1/7q/3p1K2/1Q4P1/1P3P2/2r5_b_-,,,14235042.0,ns,36
mate_in_1,,https://lichess.org/analysis/5bk1/R4p1p/6p1/7q/3p1K2/1Q4P1/1P3P2/2r5_b_-,,,15118476.0,ns,39
mate_in_1,,https://lichess.org/analysis/5bk1/R4p1p/6p1/7q/3p1K2/1Q4P1/1P3P2/2r5_b_-,,,16339223.0,ns,42
mate_in_1,,https://lichess.org/analysis/5bk1/R4p1p/6p1/7q/3p1K2/1Q4P1/1P3P2/2r5_b_-,,,11831051.0,ns,45
mate_in_1,,https://lichess.org/analysis/5bk1/R4p1p/6p1/7q/3p1K2/1Q4P1/1P3P2/2r5_b_-,,,12508776.0,ns,48
