group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,2362994.0,ns,3
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,1705768.0,ns,6
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,2520400.0,ns,9
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,3363734.0,ns,12
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,4213867.0,ns,15
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,5465318.0,ns,18
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,6939376.0,ns,21
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,8973357.0,ns,24
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,7638004.0,ns,27
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,11771268.0,ns,30
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,11332051.0,ns,33
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,12069580.0,ns,36
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,13342831.0,ns,39
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,14668083.0,ns,42
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,16101341.0,ns,45
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,15916332.0,ns,48
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,17066478.0,ns,51
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,16921371.0,ns,54
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,17201483.0,ns,57
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,22692501.0,ns,60
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,23152219.0,ns,63
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,22084676.0,ns,66
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,19485174.0,ns,69
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,21201441.0,ns,72
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,27357886.0,ns,75
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,31476249.0,ns,78
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,27931309.0,ns,81
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,29054653.0,ns,84
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,28794743.0,ns,87
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,34919386.0,ns,90
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,27763202.0,ns,93
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,26954569.0,ns,96
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,33662337.0,ns,99
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,34502269.0,ns,102
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,33861944.0,ns,105
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,37252278.0,ns,108
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,36517050.0,ns,111
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,37012169.0,ns,114
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,42912003.0,ns,117
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,43597530.0,ns,120
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,43323820.0,ns,123
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,42817799.0,ns,126
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,43377822.0,ns,129
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,44569369.0,ns,132
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,45429703.0,ns,135
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,46351440.0,ns,138
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,47955502.0,ns,141
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,47871295.0,ns,144
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,49623465.0,ns,147
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,51244530.0,ns,150
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,53948336.0,ns,153
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,53115103.0,ns,156
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,54262249.0,ns,159
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,55598302.0,ns,162
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,84752256.0,ns,165
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,65271885.0,ns,168
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,56708645.0,ns,171
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,72591675.0,ns,174
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,68797524.0,ns,177
mate_in_1,,https://lichess.org/analysis/5k2/1p1r1pp1/p1r3b1/3pPqB1/2pP4/2P4R/P3P2K/6R1_w_-,,,75097974.0,ns,180
