group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,1481944.0,ns,4
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,2187366.0,ns,8
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,3368300.0,ns,12
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,5562766.0,ns,16
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,5466763.0,ns,20
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,6699700.0,ns,24
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,7752531.0,ns,28
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,10197504.0,ns,32
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,10439912.0,ns,36
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,12467272.0,ns,40
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,12807982.0,ns,44
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,13217394.0,ns,48
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,16289886.0,ns,52
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,16329787.0,ns,56
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,17062409.0,ns,60
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,18713758.0,ns,64
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,21628545.0,ns,68
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,24863742.0,ns,72
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,23176091.0,ns,76
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,22414069.0,ns,80
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,24535132.0,ns,84
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,24799340.0,ns,88
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,26490390.0,ns,92
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,32347065.0,ns,96
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,31128328.0,ns,100
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,30266203.0,ns,104
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,31748146.0,ns,108
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,31818949.0,ns,112
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,34292622.0,ns,116
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,33663604.0,ns,120
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,40557609.0,ns,124
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,39201569.0,ns,128
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,38703454.0,ns,132
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,39835088.0,ns,136
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,40036894.0,ns,140
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,43161387.0,ns,144
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,45255049.0,ns,148
mate_in_1,,https://lichess.org/analysis/5k2/5p2/1p5p/p4Np1/5q2/7P/PPr5/3R3K_w_-,,,47831126.0,ns,152
