group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/5n1k/pp3p1p/5n2/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,1438050.0,ns,3
mate_in_1,,https://lichess.org/analysis/5n1k/pp3p1p/5n2/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,1722861.0,ns,6
mate_in_1,,https://lichess.org/analysis/5n1k/pp3p1p/5n2/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,2574991.0,ns,9
mate_in_1,,https://lichess.org/analysis/5n1k/pp3p1p/5n2/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,3417320.0,ns,12
mate_in_1,,https://lichess.org/analysis/5n1k/pp3p1p/5n2/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,3777533.0,ns,15
mate_in_1,,https://lichess.org/analysis/5n1k/pp3p1p/5n2/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,4533360.0,ns,18
mate_in_1,,https://lichess.org/analysis/5n1k/pp3p1p/5n2/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,5020977.0,ns,21
mate_in_1,,https://lichess.org/analysis/5n1k/pp3p1p/5n2/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,4599962.0,ns,24
mate_in_1,,https://lichess.org/analysis/5n1k/pp3p1p/5n2/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,8516100.0,ns,27
mate_in_1,,https://lichess.org/analysis/5n1k/pp3p1p/5n2/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,8924614.0,ns,30
mate_in_1,,https://lichess.org/analysis/5n1k/pp3p1p/5n2/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,10034454.0,ns,33
mate_in_1,,https://lichess.org/analysis/5n1k/pp3p1p/5n2/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,10711777.0,ns,36
mate_in_1,,https://lichess.org/analysis/5n1k/pp3p1p/5n2/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,11684811.0,ns,39
mate_in_1,,https://lichess.org/analysis/5n1k/pp3p1p/5n2/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,14350306.0,ns,42
mate_in_1,,https://lichess.org/analysis/5n1k/pp3p1p/5n2/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,13630680.0,ns,45
mate_in_1,,https://lichess.org/analysis/5n1k/pp3p1p/5n2/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,15267738.0,ns,48
mate_in_1,,https://lichess.org/analysis/5n1k/pp3p1p/5n2/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,15939161.0,ns,51
