group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r6/2Q2P2/1P1N2P1/P1P1R1P1/4R2K_b_-,,,1386364.0,ns,3
mate_in_1,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r6/2Q2P2/1P1N2P1/P1P1R1P1/4R2K_b_-,,,1529271.0,ns,6
mate_in_1,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r6/2Q2P2/1P1N2P1/P1P1R1P1/4R2K_b_-,,,2312207.0,ns,9
mate_in_1,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r6/2Q2P2/1P1N2P1/P1P1R1P1/4R2K_b_-,,,3058241.0,ns,12
mate_in_1,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r6/2Q2P2/1P1N2P1/P1P1R1P1/4R2K_b_-,,,3863679.0,ns,15
mate_in_1,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r6/2Q2P2/1P1N2P1/P1P1R1P1/4R2K_b_-,,,5199841.0,ns,18
mate_in_1,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r6/2Q2P2/1P1N2P1/P1P1R1P1/4R2K_b_-,,,8432290.0,ns,21
mate_in_1,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r6/2Q2P2/1P1N2P1/P1P1R1P1/4R2K_b_-,,,9982562.0,ns,24
mate_in_1,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r6/2Q2P2/1P1N2P1/P1P1R1P1/4R2K_b_-,,,10425682.0,ns,27
mate_in_1,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r6/2Q2P2/1P1N2P1/P1P1R1P1/4R2K_b_-,,,11934852.0,ns,30
mate_in_1,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r6/2Q2P2/1P1N2P1/P1P1R1P1/4R2K_b_-,,,8768106.0,ns,33
mate_in_1,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r6/2Q2P2/1P1N2P1/P1P1R1P1/4R2K_b_-,,,9260128.0,ns,36
mate_in_1,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r6/2Q2P2/1P1N2P1/P1P1R1P1/4R2K_b_-,,,13820740.0,ns,39
mate_in_1,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r6/2Q2P2/1P1N2P1/P1P1R1P1/4R2K_b_-,,,16856080.0,ns,42
mate_in_1,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r6/2Q2P2/1P1N2P1/P1P1R1P1/4R2K_b_-,,,17378204.0,ns,45
mate_in_1,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r6/2Q2P2/1P1N2P1/P1P1R1P1/4R2K_b_-,,,20266538.0,ns,48
mate_in_1,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r6/2Q2P2/1P1N2P1/P1P1R1P1/4R2K_b_-,,,21480093.0,ns,51
mate_in_1,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r6/2Q2P2/1P1N2P1/P1P1R1P1/4R2K_b_-,,,21025873.0,ns,54
mate_in_1,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r6/2Q2P2/1P1N2P1/P1P1R1P1/4R2K_b_-,,,21414791.0,ns,57
mate_in_1,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r6/2Q2P2/1P1N2P1/P1P1R1P1/4R2K_b_-,,,15774730.0,ns,60
mate_in_1,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r6/2Q2P2/1P1N2P1/P1P1R1P1/4R2K_b_-,,,20341641.0,ns,63
