group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,1239147.0,ns,3
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,2720105.0,ns,6
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,3394931.0,ns,9
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,5326105.0,ns,12
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,7558892.0,ns,15
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,7001771.0,ns,18
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,8213117.0,ns,21
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,9113852.0,ns,24
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,10454204.0,ns,27
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,12412379.0,ns,30
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,12448181.0,ns,33
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,15138384.0,ns,36
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,14658266.0,ns,39
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,15770909.0,ns,42
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,18772125.0,ns,45
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,19776064.0,ns,48
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,20345086.0,ns,51
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,20811303.0,ns,54
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,24775256.0,ns,57
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,23084492.0,ns,60
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,25011166.0,ns,63
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,26160510.0,ns,66
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,27466061.0,ns,69
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,28731109.0,ns,72
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,26505124.0,ns,75
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,25781995.0,ns,78
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,26699732.0,ns,81
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,27177849.0,ns,84
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,32478054.0,ns,87
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,38229777.0,ns,90
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,39658431.0,ns,93
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,32540957.0,ns,96
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,39232215.0,ns,99
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,45643562.0,ns,102
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,42164829.0,ns,105
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,51028270.0,ns,108
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,45883072.0,ns,111
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,44045900.0,ns,114
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,44889634.0,ns,117
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,46114381.0,ns,120
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,48213061.0,ns,123
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,53409763.0,ns,126
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,49946728.0,ns,129
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,52903943.0,ns,132
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,55942360.0,ns,135
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,71857075.0,ns,138
mate_in_1,,https://lichess.org/analysis/5rk1/pb2npp1/1p5p/5p2/5B2/1B6/P2R2QP/2r1R2K_b_-,,,72019781.0,ns,141
