group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/7P/4r3/1NP1B3/PP2nPP1/R2QR2K_b_-,,,1496774.0,ns,3
mate_in_1,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/7P/4r3/1NP1B3/PP2nPP1/R2QR2K_b_-,,,2901643.0,ns,6
mate_in_1,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/7P/4r3/1NP1B3/PP2nPP1/R2QR2K_b_-,,,4327613.0,ns,9
mate_in_1,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/7P/4r3/1NP1B3/PP2nPP1/R2QR2K_b_-,,,6311311.0,ns,12
mate_in_1,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/7P/4r3/1NP1B3/PP2nPP1/R2QR2K_b_-,,,7949691.0,ns,15
mate_in_1,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/7P/4r3/1NP1B3/PP2nPP1/R2QR2K_b_-,,,9436065.0,ns,18
mate_in_1,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/7P/4r3/1NP1B3/PP2nPP1/R2QR2K_b_-,,,8279807.0,ns,21
mate_in_1,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/7P/4r3/1NP1B3/PP2nPP1/R2QR2K_b_-,,,10342209.0,ns,24
mate_in_1,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/7P/4r3/1NP1B3/PP2nPP1/R2QR2K_b_-,,,10528819.0,ns,27
mate_in_1,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/7P/4r3/1NP1B3/PP2nPP1/R2QR2K_b_-,,,11603471.0,ns,30
mate_in_1,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/7P/4r3/1NP1B3/PP2nPP1/R2QR2K_b_-,,,13046542.0,ns,33
mate_in_1,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/7P/4r3/1NP1B3/PP2nPP1/R2QR2K_b_-,,,13770278.0,ns,36
mate_in_1,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/7P/4r3/1NP1B3/PP2nPP1/R2QR2K_b_-,,,14998538.0,ns,39
mate_in_1,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/7P/4r3/1NP1B3/PP2nPP1/R2QR2K_b_-,,,15823879.0,ns,42
mate_in_1,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/7P/4r3/1NP1B3/PP2nPP1/R2QR2K_b_-,,,18185795.0,ns,45
mate_in_1,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/7P/4r3/1NP1B3/PP2nPP1/R2QR2K_b_-,,,17913682.0,ns,48
