group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/5rkr/pp2R3/1b1p1Pp1/3P4/2n3P1/2p5/P4P2/4R1K1_w_-,,,1254206.0,ns,26
mate_in_1,,https://lichess.org/analysis/5rkr/pp2R3/1b1p1Pp1/3P4/2n3P1/2p5/P4P2/4R1K1_w_-,,,1825310.0,ns,52
mate_in_1,,https://lichess.org/analysis/5rkr/pp2R3/1b1p1Pp1/3P4/2n3P1/2p5/P4P2/4R1K1_w_-,,,2759915.0,ns,78
mate_in_1,,https://lichess.org/analysis/5rkr/pp2R3/1b1p1Pp1/3P4/2n3P1/2p5/P4P2/4R1K1_w_-,,,3643819.0,ns,104
mate_in_1,,https://lichess.org/analysis/5rkr/pp2R3/1b1p1Pp1/3P4/2n3P1/2p5/P4P2/4R1K1_w_-,,,5513930.0,ns,130
mate_in_1,,https://lichess.org/analysis/5rkr/pp2R3/1b1p1Pp1/3P4/2n3P1/2p5/P4P2/4R1K1_w_-,,,5768031.0,ns,156
mate_in_1,,https://lichess.org/analysis/5rkr/pp2R3/1b1p1Pp1/3P4/2n3P1/2p5/P4P2/4R1K1_w_-,,,6833736.0,ns,182
mate_in_1,,https://lichess.org/analysis/5rkr/pp2R3/1b1p1Pp1/3P4/2n3P1/2p5/P4P2/4R1K1_w_-,,,8351645.0,ns,208
mate_in_1,,https://lichess.org/analysis/5rkr/pp2R3/1b1p1Pp1/3P4/2n3P1/2p5/P4P2/4R1K1_w_-,,,7830142.0,ns,234
mate_in_1,,https://lichess.org/analysis/5rkr/pp2R3/1b1p1Pp1/3P4/2n3P1/2p5/P4P2/4R1K1_w_-,,,9274749.0,ns,260
mate_in_1,,https://lichess.org/analysis/5rkr/pp2R3/1b1p1Pp1/3P4/2n3P1/2p5/P4P2/4R1K1_w_-,,,11104560.0,ns,286
mate_in_1,,https://lichess.org/analysis/5rkr/pp2R3/1b1p1Pp1/3P4/2n3P1/2p5/P4P2/4R1K1_w_-,,,12524367.0,ns,312
mate_in_1,,https://lichess.org/analysis/5rkr/pp2R3/1b1p1Pp1/3P4/2n3P1/2p5/P4P2/4R1K1_w_-,,,11857263.0,ns,338
mate_in_1,,https://lichess.org/analysis/5rkr/pp2R3/1b1p1Pp1/3P4/2n3P1/2p5/P4P2/4R1K1_w_-,,,12483867.0,ns,364
mate_in_1,,https://lichess.org/analysis/5rkr/pp2R3/1b1p1Pp1/3P4/2n3P1/2p5/P4P2/4R1K1_w_-,,,13481472.0,ns,390
mate_in_1,,https://lichess.org/analysis/5rkr/pp2R3/1b1p1Pp1/3P4/2n3P1/2p5/P4P2/4R1K1_w_-,,,14493078.0,ns,416
