group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p2/3R4/7K_b_-,,,948640.0,ns,4
mate_in_1,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p2/3R4/7K_b_-,,,1344757.0,ns,8
mate_in_1,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p2/3R4/7K_b_-,,,2014586.0,ns,12
mate_in_1,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p2/3R4/7K_b_-,,,3730957.0,ns,16
mate_in_1,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p2/3R4/7K_b_-,,,6096658.0,ns,20
mate_in_1,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p2/3R4/7K_b_-,,,5941852.0,ns,24
mate_in_1,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p2/3R4/7K_b_-,,,7464715.0,ns,28
mate_in_1,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p2/3R4/7K_b_-,,,7924635.0,ns,32
mate_in_1,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p2/3R4/7K_b_-,,,9328995.0,ns,36
mate_in_1,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p2/3R4/7K_b_-,,,9877118.0,ns,40
mate_in_1,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p2/3R4/7K_b_-,,,9707510.0,ns,44
mate_in_1,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p2/3R4/7K_b_-,,,13257661.0,ns,48
mate_in_1,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p2/3R4/7K_b_-,,,14158699.0,ns,52
mate_in_1,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p2/3R4/7K_b_-,,,15898673.0,ns,56
